code,employment,employment2,occupation,code.variants,career_cluster,entry_level_education,typical_on_the_job_training,annual_wage_2021,projected_growth_2020.2030,active_listening.l,active_learning.l,critical_thinking.l,monitoring.l,complex_problem_solving.l,time_management.l,social_perceptiveness.l,judgment_and_decision.l,systems_evaluation.l,programming.l,operations_analysis.l,problem_sensitivity.l,fluency_of_ideas.l,originality.l,deductive_reasoning.l,inductive_reasoning.l,information_ordering.l,written_expression.l,oral_expression.l,oral_comprehension.l,written_comprehension.l,freedom_to_make_decisions.l,installation.l,equipment_selection.l,equipment_maintenance.l,troubleshooting.l,repairing.l,finger_dexterity.l,manual_dexterity.l,wrist_finger_speed.l,visual_color_discrimination.l,exposed_to_hazardous_conditions.l,repairing_and_maintaining_electronic_equipment.l,repairing_and_maintaining_mechanical_equipment.l,basic.science.l,therapy_and_counseling.l,medicine_and_dentistry.l,chemistry.l,biology.l,psychology.l,deal_with_physically_aggressive_people.l,exposed_to_disease_or_infections.l,exposed_to_radiation.l,physical_proximity.l,consequence_of_error.l,assisting_and_caring_for_others.l,spatial_orientation.l,sound_localization.l,glare_sensitivity.l,night_vision.l,peripheral_vision.l,transportation.l,exposed_to_whole_body_vibrations.l,extremely_bright_or_inadequate_lighting.l,very_hot_or_cold_temperatures.l,exposed_to_high_places.l,in_a_enclosed_vehicle_or_equipment.l,in_an_open_vehicle_or_equipment.l,indoors_not_environmentally_controlled.l,outdoors_exposed_to_weather.l,outdoors_under_cover.l,operating_vehicles_mechanized_devices_or_equipment.l,management_of_financial_resources.l,management_of_material_resources.l,management_of_personal_resources.l,coordination.l,administration_and_management.l,personnel_and_human_resources.l,responsibility_for_outcomes_and_results.l,monitoring_and_controlling_resources.l,staffing_organizational_units.l,resolving_conflicts_and_negotiating_with_others.l,coaching_and_developing_others.l,coordinating_the_work_and_activities_of_others.l,developing_and_building_teams.l,guiding_directing_and_motivating_subordinates.l,training_and_teaching_others.l,scheduling_work_and_activities.l,service_orientation.l,speech_recognition.l,face_to_face_discussions.l,telephone.l,contact_with_others.l,deal_with_unpleasant_or_angry_people.l,frequency_of_conflict_situations.l,coordinate_or_lead_others.l,deal_with_external_customers.l,work_with_work_group_or_team.l,frequency_of_decision_making.l,identifying_objectives_actions_and_events.l,getting_information.l,monitoring_processes_materials_or_surroundings.l,interpreting_the_meaning_of_information_for_others.l,providing_consultation_and_advice_to_others.l,analysing_data_or_information.l,evaluating_information_to_determine_compliance_with_standards.l,judging_the_qualities_of_objects_services_or_people.l,processing_information.l,developing_objectives_and_strategies.l,making_decisions_and_solving_problems.l,organizing_planning_and_prioritizing_work.l,thinking_creatively.l,updating_and_using_relevant_knowledge.l,documenting_recording_information.l,working_with_computers.l,negotiation.l,persuasion.l,economics_and_accounting.l,customer_and_personal_service.l,sales_and_marketing.l,level_of_competition.l,communicating_with_people_outside_the_organization.l,performing_for_or_working_directly_with_the_public.l,selling_or_influencing_others.l,operations_monitoring.l,operation_and_control.l,time_sharing.l,selective_attention.l,explosive_strength.l,response_orientation.l,control_precision.l,multilimb_coordination.l,arm_hand_steadiness.l,reaction_time.l,auditory_attention.l,hearing_sensitivity.l,far_vision.l,depth_perception.l,administrative.l,computers_and_electronics.l,electronic_mail.l,time_pressure.l,importance_of_being_exact_or_accurate.l,importance_of_repeating_same_tasks.l,performing_administrative_activities.l,quality_control_analysis.l,technology_design.l,visualization.l,telecommunications.l,building_and_construction.l,engineering_and_technology.l,mechanical.l,design.l,public_safety_and_security.l,production_and_processing.l,physics.l,spent_time_climbing_ladders_scaffolds_or_poles.l,inspecting_equipment_structures_or_materials.l,drafting_laying_out_and_specifying_technical_devices_parts_and_equipment.l,basic.mathematics.l,systems_analysis.l,category_flexibility.l,perceptual_speed.l,flexibility_of_closure.l,speed_of_closure.l,number_facility.l,mathematical_reasoning.l,memorization.l,mathematics.l,rate_control.l,spend_time_using_your_hands_to_handle_control_or_feel_objects_tools_or_controls.l,exposed_to_contaminants.l,sounds_noise_levels_are_distracting_or_uncomfortable.l,exposed_to_hazardous_equipment.l,wear_common_protective_or_safety_equipment.l,wear_specialized_protective_or_safety_equipment.l,pace_determined_by_speed_of_equipment.l,controlling_machines_and_processes.l,handling_and_moving_objectives.l,learning_strategies.l,instructing.l,speech_clarity.l,english_language.l,history_and_archeology.l,philosophy_and_theology.l,fine_arts.l,communications_and_media.l,education_and_training.l,geography.l,sociology_and_anthropology.l,public_speaking.l,dynamic_flexibility.l,gross_body_equilibrium.l,extent_flexibility.l,gross_body_coordination.l,static_strength.l,dynamic_strength.l,trunk_strength.l,stamina.l,speed_of_limb_movement.l,responsible_for_others_health_and_safety.l,spend_time_bending_or_twisting_the_body.l,spend_time_keeping_or_regaining_balance.l,spend_time_kneeling_crouching_stooping_or_crawling.l,spend_time_making_repetitive_motions.l,spend_time_standing.l,spend_time_walking_and_running.l,cramped_work_space_awkward_positions.l,exposed_to_minor_burns_cuts_bites_or_stings.l,performing_general_physical_activities.l
29-2057,65700,65700,Ophthalmic Medical Technicians,1,Health Science,Postsecondary nondegree award,None,37180,Faster than average,54,45,45,43,34,37,43,41,28.999999999999996,7.000000000000001,5,50,36,27,43,43,43,43,56.99999999999999,59,54,73,0,36,28.999999999999996,25,18,46,39,13,41,21,34,31,27,28.999999999999996,52,35,33,46,18,82,7.000000000000001,90,54,65,0,0,0,0,0,0,0,18,0,1,5,0,2,0,1,0,0,5,28.999999999999996,43,32,35,52,32,28.999999999999996,50,47,45,35,41,53,44,45,46,92,96,98,63,44,66,89,96,86,56.00000000000001,54,51,35,45,38,45,38,55.00000000000001,28.999999999999996,51,53,32,69,55.00000000000001,43,25,25,12,63,21,43,38,62,24,28.999999999999996,21,32,43,0,0,43,28.999999999999996,48,0,20,18,43,27,41,39,88,57.99999999999999,93,66,35,30,0,37,10,0,20,27,0,23,15,0,0,45,0,36,28.999999999999996,43,30,39,30,36,36,32,44,0,71,24,6,0,36,9,6,35,51,37,37,45,51,0,0,0,19,47,0,18,15,0,13,21,16,14.000000000000002,9,27,9,5,67,23,10,8,71,56.00000000000001,54,16,16,31
29-2061,641240,641240,Licensed Practical and Licensed Vocational Nurses,1,Health Science,Postsecondary nondegree award,None,48070,Average,56.99999999999999,46,56.99999999999999,56.99999999999999,43,46,61,46,41,0,21,59,43,41,56.99999999999999,54,52,52,59,59,59,69,0,0,0,14.000000000000002,0,43,43,27,41,17,28.000000000000004,27,37,43,52,27,34,79,47,92,10,92,61,80,0,0,0,0,0,15,1,9,6,0,2,0,6,4,1,16,9,16,41,56.99999999999999,48,23,71,28.999999999999996,26,57.99999999999999,50,56.99999999999999,45,49,53,48,56.99999999999999,52,91,93,96,75,62,76,66,92,83,71,63,79,41,35,59,57.99999999999999,49,62,47,71,68,47,77,71,53,43,41,15,66,13,42,44,48,20,36,28.999999999999996,43,43,28.999999999999996,30,43,43,43,28.999999999999996,39,36,43,28.999999999999996,47,46,70,85,93,73,36,25,14.000000000000002,41,24,0,0,9,0,36,10,12,0,52,23,41,41,45,43,43,41,41,34,39,44,16,60,42,49,1,75,25,19,40,45,45,45,50,53,0,28.999999999999996,0,28.000000000000004,48,0,30,19,0,28.999999999999996,43,37,43,28.999999999999996,45,39,23,81,56.00000000000001,22,26,56.99999999999999,69,65,16,28.000000000000004,54
29-2081,73270,73270,"Opticians, Dispensing",1,Health Science,High school diploma or equivalent,Long-term on-the-job training,37570,Average,52,41,52,43,41,39,45,41,34,5,23,43,41,39,46,45,41,50,56.99999999999999,56.99999999999999,52,82,0,9,0,25,11,46,43,30,43,9,21,34,14.000000000000002,11,32,28.000000000000004,18,32,11,40,0,83,28.999999999999996,52,0,0,0,0,0,0,0,8,0,1,3,0,2,0,1,14.000000000000002,16,20,37,43,56.00000000000001,47,45,60,43,54,56.00000000000001,51,40,50,53,49,46,48,96,97,95,63,56.00000000000001,45,94,66,71,59,56.99999999999999,54,50,44,54,63,57.99999999999999,59,41,64,56.00000000000001,52,74,48,45,41,45,44,79,64,50,53,75,60,30,27,36,41,5,20,39,36,48,23,25,13,43,32,57.99999999999999,43,86,76,94,52,49,34,18,41,16,0,27,41,21,30,46,24,3,48,22,39,32,45,36,36,32,39,36,28.999999999999996,61,16,81,21,17,14.000000000000002,20,0,16,34,48,41,43,45,49,0,0,0,27,52,0,15,19,0,0,7.000000000000001,0,14.000000000000002,7.000000000000001,32,0,0,43,19,6,10,48,50,27,6,30,19
29-2091,10410,10410,Orthotists and Prosthetists,1,Health Science,Master's degree,Internship/residency,75440,Much faster than average,61,61,59,52,55.00000000000001,43,55.00000000000001,52,45,11,52,61,48,54,63,61,55.00000000000001,63,68,68,61,83,0,32,14.000000000000002,28.999999999999996,16,52,48,18,36,52,30,42,46,61,59,47,46,62,24,67,2,85,41,76,0,0,0,0,0,22,8,8,10,1,28.999999999999996,2,15,10,6,18,9,25,37,48,60,48,64,59,48,60,62,56.99999999999999,45,56.00000000000001,57.99999999999999,51,54,52,99,98,97,54,44,67,85,81,92,65,64,62,50,54,51,61,56.99999999999999,68,52,71,65,71,74,62,48,36,45,42,79,56.00000000000001,60,59,72,45,41,30,34,41,7.000000000000001,7.000000000000001,45,43,48,27,30,23,45,28.999999999999996,62,55.00000000000001,100,82,79,51,53,46,45,56.99999999999999,17,35,66,61,66,25,61,53,4,51,43,45,43,61,39,41,39,36,43,30,49,13,88,85,70,84,84,38,23,57.99999999999999,69,50,48,52,57.99999999999999,16,22,19,28.999999999999996,63,18,28.999999999999996,32,0,14.000000000000002,30,14.000000000000002,30,21,32,18,0,53,44,15,41,39,66,35,38,55.00000000000001,50
29-2092,10790,10790,Hearing Aid Specialists,1,Health Science,High school diploma or equivalent,Moderate-term on-the-job training,59500,Faster than average,55.00000000000001,45,52,43,43,43,46,45,43,9,9,43,37,37,45,43,45,45,55.00000000000001,55.00000000000001,50,89,0,28.999999999999996,28.999999999999996,30,32,48,46,7.000000000000001,37,0,59,32,13,68,63,27,40,62,3,50,0,76,34,67,0,9,0,0,0,18,0,7.000000000000001,0,0,9,0,0,0,0,20,16,23,32,43,53,50,59,48,25,54,33,45,33,31,39,42,54,54,78,91,92,56.00000000000001,52,56.99999999999999,98,75,92,65,67,57.99999999999999,48,47,53,45,48,52,40,66,62,50,82,52,54,39,46,47,78,73,63,55.00000000000001,68,62,37,11,34,43,0,5,45,28.999999999999996,45,7.000000000000001,45,45,39,21,65,70,97,74,80,51,38,41,20,41,25,0,54,40,30,33,33,33,0,53,25,37,41,45,43,45,41,36,28.999999999999996,36,53,0,63,3,26,5,50,0,10,43,47,43,46,55.00000000000001,55.00000000000001,0,17,10,48,65,0,28.000000000000004,33,0,0,9,0,11,0,18,0,0,51,17,6,14.000000000000002,31,31,21,8,3,31
29-2099,140770,46923.333333333336,Neurodiagnostic Technologists,3,Health Science,Postsecondary nondegree award,Moderate-term on-the-job training,45720,Average,56.99999999999999,48,55.00000000000001,52,43,45,43,43,43,16,0,56.99999999999999,37,41,55.00000000000001,55.00000000000001,54,52,56.99999999999999,59,55.00000000000001,80,0,18,28.999999999999996,37,34,46,30,16,41,51,54,34,39,39,63,41,55.00000000000001,63,39,81,24,94,62,77,0,0,0,0,0,0,0,27,0,1,2,0,1,0,0,15,16,20,32,43,51,51,49,54,48,51,57.99999999999999,49,45,55.00000000000001,57.99999999999999,55.00000000000001,43,48,97,91,94,62,53,56.99999999999999,77,81,70,73,61,79,47,51,66,62,53,73,44,66,63,45,76,61,56.00000000000001,32,32,28.000000000000004,71,31,45,43,62,28.000000000000004,45,41,36,45,0,21,39,30,41,20,30,30,41,21,64,66,88,86,91,69,47,45,13,41,23,0,34,28.999999999999996,20,38,27,28.999999999999996,0,59,19,32,41,45,43,45,36,34,34,32,57.99999999999999,13,80,56.99999999999999,32,4,74,28.000000000000004,19,50,68,46,45,45,57.99999999999999,0,27,0,30,67,0,28.000000000000004,25,0,11,25,16,27,9,25,13,0,61,34,12,24,48,44,28.000000000000004,61,10,43
29-2099,140770,46923.333333333336,Ophthalmic Medical Technologists,3,Health Science,Postsecondary nondegree award,Moderate-term on-the-job training,45720,Average,56.99999999999999,43,52,45,41,45,46,45,28.999999999999996,13,0,56.99999999999999,39,39,46,54,43,46,56.99999999999999,56.99999999999999,54,73,0,18,11,21,5,41,39,25,45,11,31,39,39,26,54,40,43,47,25,79,8,86,56.00000000000001,69,0,0,0,0,0,6,0,15,0,0,5,0,3,1,0,11,7.000000000000001,11,37,45,38,38,49,32,41,59,61,53,49,51,59,41,45,52,98,86,91,70,54,65,76,88,79,56.99999999999999,62,46,41,38,39,47,37,48,21,56.99999999999999,56.00000000000001,31,66,59,44,30,39,16,74,0,40,50,63,19,32,27,30,45,0,14.000000000000002,43,30,48,16,27,27,43,23,57.99999999999999,46,88,61,83,55.00000000000001,48,27,5,37,15,0,10,33,0,34,13,20,1,46,0,37,34,43,43,45,34,36,39,30,46,16,69,23,26,6,54,9,9,50,46,43,43,48,54,0,0,0,30,56.00000000000001,0,19,20,0,14.000000000000002,23,14.000000000000002,18,16,32,20,9,57.99999999999999,26,4,13,48,53,44,11,6,33
29-2099,140770,46923.333333333336,Patient Representatives,3,Business Management & Administration,Postsecondary nondegree award,Moderate-term on-the-job training,45720,Average,56.99999999999999,50,54,43,45,46,56.99999999999999,46,43,13,0,52,43,43,45,45,43,54,56.99999999999999,56.99999999999999,54,83,0,0,0,0,0,27,5,0,28.999999999999996,0,0,14.000000000000002,18,42,46,18,17,59,23,70,0,75,30,75,0,0,0,0,0,0,0,14.000000000000002,17,0,6,0,2,6,6,15,27,23,37,48,51,39,55.00000000000001,47,21,54,47,56.99999999999999,48,28.000000000000004,48,44,55.00000000000001,54,96,100,100,73,68,70,98,94,57.99999999999999,67,65,71,56.99999999999999,34,46,64,55.00000000000001,69,46,59,72,41,68,67,48,45,52,35,77,32,33,60,59,39,18,0,41,43,0,0,5,9,21,0,28.999999999999996,27,39,11,52,52,100,52,89,88,55.00000000000001,0,11,27,25,0,19,0,0,38,27,0,0,30,0,28.999999999999996,41,43,37,41,37,34,34,39,42,0,50,10,54,0,25,1,15,13,38,43,48,52,45,0,43,0,35,55.00000000000001,18,50,17,0,13,13,25,18,11,28.999999999999996,27,0,45,30,13,17,57.99999999999999,31,44,18,2,28.999999999999996
29-9091,26070,26070,Athletic Trainers,1,Health Science,Bachelor's degree,None,48420,Much faster than average,56.99999999999999,56.99999999999999,59,59,48,43,56.99999999999999,54,43,0,32,68,48,45,59,59,55.00000000000001,55.00000000000001,56.99999999999999,56.99999999999999,55.00000000000001,86,0,11,0,20,0,43,41,18,39,9,17,20,27,65,64,32,49,68,32,72,6,77,72,89,0,0,0,0,0,20,9,32,53,21,42,32,61,80,46,16,16,21,37,43,50,44,64,36,23,51,65,50,42,39,56.00000000000001,53,52,54,97,85,97,66,65,65,74,95,92,59,60,62,40,48,43,64,55.00000000000001,53,54,72,72,66,72,69,50,36,46,10,76,23,71,50,46,19,32,25,36,45,23,13,28.999999999999996,43,41,5,34,34,43,28.999999999999996,59,49,93,65,83,66,47,37,25,50,0,8,21,25,27,35,25,37,6,45,18,30,43,46,43,52,41,28.999999999999996,28.999999999999996,39,39,5,50,39,72,12,22,0,7.000000000000001,22,53,55.00000000000001,54,54,54,0,25,0,30,57.99999999999999,14.000000000000002,47,60,14.000000000000002,21,39,39,43,32,43,41,21,86,31,17,24,43,65,41,33,44,56.99999999999999
29-9092,2740,2740,Genetic Counselors,1,Health Science,Master's degree,None,80150,Much faster than average,56.99999999999999,55.00000000000001,59,43,54,45,56.99999999999999,56.99999999999999,45,7.000000000000001,0,56.99999999999999,46,45,66,66,56.99999999999999,70,71,70,70,76,0,0,0,0,0,32,0,0,36,6,0,0,45,75,60,44,80,70,8,38,1,47,56.99999999999999,74,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,41,43,34,27,36,13,37,51,51,45,39,42,68,49,45,50,100,100,89,48,41,44,79,73,76,61,80,49,87,65,66,52,50,75,42,67,66,48,86,65,43,43,43,11,72,30,56.99999999999999,69,62,17,21,0,39,41,0,0,0,0,0,0,21,25,41,0,56.99999999999999,43,100,73,86,39,53,0,9,37,14.000000000000002,0,13,0,0,19,9,10,0,0,0,39,43,50,43,45,41,41,45,41,65,0,13,1,23,0,10,3,0,0,10,46,46,50,57.99999999999999,12,48,0,43,65,24,64,40,0,0,0,0,0,0,0,0,0,34,3,0,2,19,20,18,1,0,6
29-9093,17250,17250,Surgical Assistants,1,Health Science,Postsecondary nondegree award,Moderate-term on-the-job training,48320,Faster than average,55.00000000000001,45,50,50,45,39,48,45,39,13,13,55.00000000000001,39,41,52,52,50,50,55.00000000000001,56.99999999999999,54,63,0,16,0,25,0,59,52,39,54,70,31,31,37,41,76,40,51,49,25,87,64,97,82,92,0,0,21,0,0,18,2,43,5,1,1,0,9,0,0,25,18,25,30,46,37,17,74,38,19,51,47,52,47,45,63,42,46,50,86,68,94,54,57.99999999999999,81,75,93,65,82,63,83,54,49,54,66,64,62,45,75,68,55.00000000000001,78,56.99999999999999,44,37,37,0,68,11,50,49,67,35,48,39,41,50,37,0,52,46,56.99999999999999,46,43,46,45,37,21,48,81,57.99999999999999,90,67,33,37,16,46,14.000000000000002,0,22,38,17,35,23,25,1,73,30,37,39,43,50,48,43,37,36,43,40,28.999999999999996,87,69,61,44,100,64,21,63,83,45,41,54,48,10,23,0,30,57.99999999999999,0,25,24,0,37,41,32,46,37,45,34,21,75,47,15,16,50,83,41,52,33,70
29-9099,44100,44100,Midwives,1,Health Science,Doctoral or professional degree,Short-term on-the-job training,58750,Faster than average,63,52,56.99999999999999,66,46,41,70,56.99999999999999,43,11,7.000000000000001,73,48,43,66,63,54,56.99999999999999,61,63,59,89,0,9,0,14.000000000000002,0,43,37,27,39,16,21,34,41,71,78,40,55.00000000000001,74,9,77,0,95,78,89,0,0,0,0,0,19,0,24,4,0,25,0,14.000000000000002,4,5,26,14.000000000000002,21,34,54,44,48,59,52,48,68,63,50,56.99999999999999,57.99999999999999,69,66,54,52,93,92,88,42,43,68,81,90,80,84,71,82,56.00000000000001,63,68,67,69,70,61,80,74,61,74,76,47,37,43,16,85,40,45,70,64,53,27,13,39,55.00000000000001,7.000000000000001,27,27,41,52,21,30,30,37,28.999999999999996,59,47,90,45,85,44,57.99999999999999,23,11,41,11,0,9,12,0,32,0,11,0,61,23,36,37,46,43,48,41,36,34,41,28.000000000000004,11,46,37,22,0,78,1,0,36,56.99999999999999,48,50,52,59,10,43,0,32,67,16,62,38,0,9,32,21,30,23,32,27,0,56.00000000000001,28.999999999999996,10,25,19,39,24,47,0,55.00000000000001
31-1121,3470700,1735350,Home Health Aides,2,Health Science,High school diploma or equivalent,Short-term on-the-job training,29430,Much faster than average,52,43,46,45,43,43,46,43,28.999999999999996,0,0,50,41,41,45,45,43,43,55.00000000000001,54,43,62,0,0,0,14.000000000000002,0,43,34,0,32,3,0,0,13,27,28.000000000000004,16,17,41,28.000000000000004,63,2,84,67,76,13,5,0,0,0,18,1,11,10,0,28.999999999999996,0,6,7.000000000000001,3,28.000000000000004,18,20,32,43,33,24,56.99999999999999,39,21,48,46,44,36,24,37,47,48,45,80,71,84,49,46,69,57.99999999999999,80,68,65,47,72,38,36,41,45,43,54,33,53,56.00000000000001,46,59,66,16,39,41,21,56.99999999999999,16,37,32,50,20,30,5,41,43,25,28.999999999999996,28.999999999999996,30,43,27,28.999999999999996,30,41,28.999999999999996,23,23,20,61,83,45,26,18,0,41,20,0,11,14.000000000000002,14.000000000000002,28.000000000000004,13,0,1,44,16,28.999999999999996,28.999999999999996,41,32,41,32,28.999999999999996,28.999999999999996,27,23,0,51,30,25,3,80,8,18,31,65,43,43,45,42,11,30,0,27,36,16,21,16,0,30,41,36,41,30,41,36,23,64,64,27,28.000000000000004,56.00000000000001,65,47,22,18,48
31-1121,3470700,1735350,Personal Care Aides,2,Human Services,High school diploma or equivalent,Short-term on-the-job training,29430,Much faster than average,41,39,43,45,34,37,45,36,21,0,0,43,28.999999999999996,27,43,43,41,41,48,52,43,66,0,0,0,13,0,34,28.999999999999996,0,27,10,0,16,11,30,24,18,12,48,42,62,2,86,60,75,0,0,0,0,0,26,2,9,16,0,21,0,5,18,2,19,5,9,25,41,28.999999999999996,15,55.00000000000001,25,0,35,28.000000000000004,38,28.999999999999996,17,37,28.999999999999996,54,43,76,76,83,53,46,64,49,81,71,47,41,56.99999999999999,23,17,20,41,34,33,17,41,52,35,37,51,0,28.999999999999996,34,0,59,0,44,25,30,0,23,20,36,36,9,14.000000000000002,20,32,36,14.000000000000002,28.999999999999996,30,41,25,24,14.000000000000002,28.000000000000004,65,80,55.00000000000001,19,25,5,30,12,0,0,14.000000000000002,0,27,13,0,2,25,0,23,20,37,28.999999999999996,28.999999999999996,23,25,21,27,25,0,33,46,26,2,72,10,14.000000000000002,19,59,37,34,43,39,9,25,0,19,33,0,24,22,0,16,30,30,36,27,37,32,23,68,63,11,42,46,76,69,14.000000000000002,21,48
31-1131,1314830,1314830,Nursing Assistants,1,Health Science,Postsecondary nondegree award,None,30310,Average,43,39,45,43,32,32,46,36,28.999999999999996,0,0,43,30,30,43,43,43,41,54,55.00000000000001,43,53,0,0,0,13,0,39,39,13,28.999999999999996,11,20,23,13,42,36,22,24,50,62,81,6,84,60,65,0,0,0,0,0,28.000000000000004,0,17,19,0,20,0,19,21,18,23,5,9,27,43,40,32,72,28.000000000000004,23,42,36,38,38,27,46,38,55.00000000000001,43,71,49,96,76,55.00000000000001,79,67,92,67,64,48,74,34,28.000000000000004,45,47,45,53,38,54,53,54,62,50,40,25,25,23,63,27,50,22,32,20,27,13,30,39,23,30,32,32,43,28.999999999999996,30,28.999999999999996,41,25,33,32,40,68,89,62,22,27,9,28.999999999999996,21,0,22,26,19,42,25,20,3,43,24,27,20,43,32,32,28.999999999999996,28.999999999999996,28.999999999999996,30,28.000000000000004,0,46,34,56.00000000000001,3,84,28.000000000000004,33,31,50,30,37,41,43,16,32,12,23,48,15,40,31,11,27,45,30,46,30,45,39,27,85,65,49,38,62,85,89,39,19,48
31-1132,45160,45160,Orderlies,1,Health Science,High school diploma or equivalent,Short-term on-the-job training,29990,Average,36,27,30,28.999999999999996,23,30,36,23,14.000000000000002,0,0,39,27,28.999999999999996,39,36,34,30,45,45,39,77,0,0,0,23,0,34,36,20,23,37,13,15,0,9,20,12,0,26,46,97,31,97,71,73,13,0,0,0,0,28.000000000000004,0,15,15,0,3,2,17,26,26,13,0,0,23,37,25,13,53,28.000000000000004,12,38,39,28.999999999999996,26,13,31,23,37,41,86,95,98,76,68,74,60,88,86,51,45,52,30,34,30,44,41,40,23,41,52,26,46,26,26,23,21,0,59,0,53,24,44,15,20,18,30,30,37,25,34,30,32,32,30,30,37,23,14.000000000000002,18,48,81,88,78,17,18,0,25,17,0,0,11,0,32,9,9,0,49,0,13,18,39,28.999999999999996,28.999999999999996,27,18,16,25,9,13,91,59,21,26,94,70,37,38,83,28.999999999999996,32,36,28.000000000000004,0,12,0,21,30,0,18,33,11,32,45,37,55.00000000000001,41,48,39,23,88,84,27,39,81,90,91,57.99999999999999,28.999999999999996,54
31-1133,39140,39140,Psychiatric Aides,1,Health Science,High school diploma or equivalent,Short-term on-the-job training,30260,Average,48,43,46,52,43,39,56.99999999999999,41,28.999999999999996,0,0,56.99999999999999,41,39,45,45,45,45,55.00000000000001,55.00000000000001,48,56.00000000000001,0,0,0,14.000000000000002,0,36,28.999999999999996,13,36,6,0,0,11,48,26,11,0,66,75,91,7.000000000000001,89,50,78,11,5,5,5,5,17,1,20,7.000000000000001,1,34,3,9,31,13,28.999999999999996,11,14.000000000000002,32,52,23,17,62,26,20,61,51,48,37,27,44,35,48,46,94,76,84,68,75,70,48,81,71,68,59,74,43,30,39,52,49,45,35,51,56.99999999999999,45,54,55.00000000000001,26,41,43,0,48,0,23,35,31,21,28.999999999999996,18,41,43,28.999999999999996,36,28.999999999999996,30,39,39,37,30,43,28.999999999999996,23,25,33,70,70,67,23,25,9,28.999999999999996,12,0,0,0,0,31,0,0,2,34,0,25,28.999999999999996,43,41,43,36,27,25,27,20,18,49,42,70,2,67,13,7.000000000000001,0,42,45,41,45,38,0,28.000000000000004,0,28.000000000000004,37,10,31,17,0,30,32,36,48,28.999999999999996,41,30,28.999999999999996,86,50,31,41,45,63,62,42,50,56.99999999999999
31-2011,41980,41980,Occupational Therapy Assistants,1,Health Science,Associate's degree,None,61730,Much faster than average,55.00000000000001,43,46,48,45,46,54,43,37,0,9,56.99999999999999,43,43,48,48,46,54,56.99999999999999,56.99999999999999,55.00000000000001,78,0,0,0,23,0,41,37,14.000000000000002,30,5,0,0,23,69,47,28.999999999999996,31,79,28.999999999999996,88,1,82,54,77,0,0,0,0,0,25,0,8,2,1,20,4,5,9,2,12,11,27,37,50,32,25,39,18,10,42,45,51,46,22,48,52,46,46,94,63,97,71,34,72,70,96,90,61,63,67,43,32,55.00000000000001,57.99999999999999,53,56.99999999999999,45,60,64,63,75,69,41,45,46,14.000000000000002,65,20,59,48,61,30,37,25,41,41,0,20,37,37,39,20,27,28.999999999999996,41,23,41,39,83,76,71,69,31,25,14.000000000000002,39,8,0,13,0,0,28.000000000000004,14.000000000000002,17,0,41,19,32,43,43,39,39,30,28.999999999999996,30,36,26,14.000000000000002,61,80,51,1,57.99999999999999,22,17,42,57.99999999999999,45,45,45,56.99999999999999,10,45,7.000000000000001,25,65,0,44,24,0,28.999999999999996,30,30,39,27,30,28.999999999999996,14.000000000000002,60,61,54,57.99999999999999,46,75,63,46,27,65
31-2012,3370,3370,Occupational Therapy Aides,1,Health Science,High school diploma or equivalent,Short-term on-the-job training,33560,Much faster than average,52,43,48,45,41,41,50,41,30,0,23,50,39,37,45,43,43,45,54,55.00000000000001,45,69,0,0,11,16,11,43,39,7.000000000000001,25,11,33,36,11,57.99999999999999,43,19,26,65,36,78,1,87,55.00000000000001,71,7.000000000000001,0,7.000000000000001,0,9,0,0,3,1,0,15,0,11,27,21,30,7.000000000000001,13,34,43,35,17,61,44,32,62,56.00000000000001,54,45,45,46,54,54,43,94,71,99,74,47,70,51,89,71,65,57.99999999999999,72,43,40,44,45,46,50,45,54,63,57.99999999999999,66,48,49,32,41,0,56.99999999999999,21,30,46,63,31,30,16,37,37,23,21,30,41,39,14.000000000000002,28.999999999999996,25,36,23,56.00000000000001,57.99999999999999,62,78,71,53,50,23,9,34,20,0,22,15,24,33,0,22,1,48,27,25,30,43,32,30,28.999999999999996,27,23,28.999999999999996,37,9,37,35,45,9,55.00000000000001,21,4,47,62,43,43,45,54,0,37,0,28.000000000000004,48,0,30,23,0,36,39,36,43,30,41,30,9,85,41,42,37,49,69,60,28.000000000000004,32,61
