code,employment,employment2,occupation,code.variants,career_cluster,entry_level_education,typical_on_the_job_training,annual_wage_2021,projected_growth_2020.2030,programming.l,operations_analysis.l,written_expression.l,installation.l,equipment_selection.l,equipment_maintenance.l,repairing.l,finger_dexterity.l,manual_dexterity.l,wrist_finger_speed.l,repairing_and_maintaining_electronic_equipment.l,repairing_and_maintaining_mechanical_equipment.l,therapy_and_counseling.l,medicine_and_dentistry.l,biology.l,deal_with_physically_aggressive_people.l,exposed_to_disease_or_infections.l,physical_proximity.l,assisting_and_caring_for_others.l,spatial_orientation.l,sound_localization.l,glare_sensitivity.l,night_vision.l,peripheral_vision.l,transportation.l,exposed_to_whole_body_vibrations.l,extremely_bright_or_inadequate_lighting.l,very_hot_or_cold_temperatures.l,exposed_to_high_places.l,in_a_enclosed_vehicle_or_equipment.l,in_an_open_vehicle_or_equipment.l,indoors_not_environmentally_controlled.l,outdoors_exposed_to_weather.l,outdoors_under_cover.l,operating_vehicles_mechanized_devices_or_equipment.l,personnel_and_human_resources.l,monitoring_and_controlling_resources.l,staffing_organizational_units.l,telephone.l,contact_with_others.l,deal_with_unpleasant_or_angry_people.l,frequency_of_conflict_situations.l,deal_with_external_customers.l,work_with_work_group_or_team.l,interpreting_the_meaning_of_information_for_others.l,processing_information.l,working_with_computers.l,economics_and_accounting.l,customer_and_personal_service.l,sales_and_marketing.l,performing_for_or_working_directly_with_the_public.l,selling_or_influencing_others.l,explosive_strength.l,control_precision.l,multilimb_coordination.l,arm_hand_steadiness.l,reaction_time.l,administrative.l,computers_and_electronics.l,electronic_mail.l,importance_of_being_exact_or_accurate.l,importance_of_repeating_same_tasks.l,building_and_construction.l,engineering_and_technology.l,design.l,production_and_processing.l,basic.mathematics.l,number_facility.l,mathematical_reasoning.l,rate_control.l,spend_time_using_your_hands_to_handle_control_or_feel_objects_tools_or_controls.l,exposed_to_contaminants.l,exposed_to_hazardous_equipment.l,wear_common_protective_or_safety_equipment.l,pace_determined_by_speed_of_equipment.l,controlling_machines_and_processes.l,handling_and_moving_objectives.l,history_and_archeology.l,philosophy_and_theology.l,fine_arts.l,communications_and_media.l,geography.l,sociology_and_anthropology.l,public_speaking.l,gross_body_equilibrium.l,extent_flexibility.l,gross_body_coordination.l,static_strength.l,dynamic_strength.l,trunk_strength.l,stamina.l,speed_of_limb_movement.l,spend_time_bending_or_twisting_the_body.l,spend_time_keeping_or_regaining_balance.l,spend_time_kneeling_crouching_stooping_or_crawling.l,spend_time_making_repetitive_motions.l,spend_time_standing.l,spend_time_walking_and_running.l,exposed_to_minor_burns_cuts_bites_or_stings.l,performing_general_physical_activities.l
15-1244,316760,316760,Network and Computer Systems Administrators,1,Information Technology,Bachelor's degree,None,80600,Average,55.00000000000001,46,54,30,46,50,45,39,30,27,59,30,0,0,0,5,3,54,37,0,0,0,0,0,12,0,15,16,7.000000000000001,28.999999999999996,1,17,11,3,13,31,45,0,90,87,52,35,20,80,53,67,87,24,67,21,11,25,0,30,20,36,18,51,96,97,75,57.99999999999999,20,65,49,32,48,43,45,18,36,14.000000000000002,4,9,8,52,51,0,11,0,38,20,12,13,0,28.999999999999996,0,0,0,13,0,0,18,4,18,53,26,17,7.000000000000001,28.000000000000004
15-1251,152610,152610,Computer Programmers,1,Information Technology,Bachelor's degree,None,93000,Decline,70,54,54,0,0,0,0,27,14.000000000000002,9,32,0,0,0,0,0,0,39,27,0,0,0,0,0,0,0,3,1,0,9,0,1,5,5,0,30,34,26,60,79,30,37,32,80,62,81,86,30,44,0,26,38,0,16,0,16,0,46,88,100,81,54,0,59,47,37,45,45,45,0,54,2,0,0,3,0,11,0,0,0,37,53,26,37,0,0,0,0,0,11,0,0,7.000000000000001,1,5,56.99999999999999,16,15,3,12
15-1253,190120,190120,Software Quality Assurance Analysts and Testers,1,Information Technology,Bachelor's degree,Long-term on-the-job training,98220,Much faster than average,50,48,55.00000000000001,28.999999999999996,25,0,0,30,25,13,17,0,0,0,0,3,0,47,30,0,0,0,0,0,0,0,4,2,0,4,2,10,4,2,0,22,35,24,82,79,36,54,20,89,52,72,69,15,43,11,10,28.999999999999996,0,25,0,27,0,39,76,96,84,57.99999999999999,0,52,40,19,32,36,41,0,47,2,1,2,4,14.000000000000002,17,0,0,0,30,0,17,33,0,0,0,0,0,11,0,0,4,1,1,56.99999999999999,19,8,0,12
15-1254,84820,84820,Web Developers,1,Information Technology,Postsecondary nondegree award,Moderate-term on-the-job training,77030,Faster than average,61,56.99999999999999,52,0,28.999999999999996,0,0,43,28.999999999999996,14.000000000000002,21,0,0,0,0,4,1,44,19,0,0,0,0,0,0,0,5,2,0,1,0,2,1,2,0,19,35,32,79,72,38,47,37,75,51,74,68,25,46,33,21,36,0,23,0,27,0,46,82,95,81,79,0,42,46,19,41,43,41,0,55.00000000000001,4,1,1,1,21,11,0,17,26,45,16,23,24,0,0,0,0,0,16,0,0,4,2,4,76,17,12,1,6
15-1255,82380,82380,Video Game Designers,1,Information Technology,Bachelor's degree,Long-term on-the-job training,79890,Faster than average,56.99999999999999,0,52,0,0,0,0,37,28.999999999999996,0,23,0,0,0,0,3,0,51,20,0,0,0,0,0,0,0,8,1,0,4,3,4,1,3,0,37,31,41,62,87,33,60,25,93,54,66,71,12,24,39,18,45,0,25,0,28.999999999999996,0,46,78,99,60,43,0,44,80,23,43,39,43,0,57.99999999999999,1,0,0,1,19,14.000000000000002,30,28.999999999999996,50,67,37,46,35,0,0,0,0,0,0,0,0,1,4,1,51,19,10,1,0
15-1299,370190,74038,Computer Systems Engineers/Architects,5,Information Technology,Bachelor's degree,None,95270,Average,59,64,64,16,0,16,13,30,20,0,31,0,0,0,0,3,4,46,28.000000000000004,0,0,0,0,0,13,0,9,4,4,8,4,9,5,6,0,42,52,45,91,78,36,52,49,91,73,86,89,33,56.00000000000001,28.999999999999996,24,50,0,23,0,20,0,46,94,100,80,55.00000000000001,0,70,64,41,46,46,46,0,46,4,3,9,8,27,14.000000000000002,13,16,0,45,20,23,45,0,0,0,0,0,7.000000000000001,0,0,6,3,7.000000000000001,55.00000000000001,24,13,2,11
15-1299,370190,74038,Document Management Specialists,5,Information Technology,Bachelor's degree,None,95270,Average,27,32,56.99999999999999,0,0,0,0,32,25,0,16,11,10,0,0,8,0,47,20,0,0,0,0,0,17,1,6,6,9,21,0,16,5,9,9,46,53,45,94,70,36,39,47,81,46,63,51,28.999999999999996,64,51,26,46,0,25,0,27,0,69,66,100,76,59,9,36,28.999999999999996,35,32,37,37,0,41,15,4,7.000000000000001,22,16,34,16,9,0,41,21,21,41,0,0,0,0,0,9,0,0,9,11,8,30,28.999999999999996,21,4,23
15-1299,370190,74038,Geographic Information Systems Technologists and Technicians,5,Information Technology,Bachelor's degree,None,95270,Average,43,0,56.99999999999999,0,0,0,0,37,26,0,28.999999999999996,0,0,0,40,7.000000000000001,4,45,26,0,0,0,0,0,30,1,15,15,3,30,4,23,25,10,17,0,42,0,89,67,23,25,53,82,63,81,71,21,59,33,42,31,0,28.999999999999996,0,27,0,53,80,98,92,75,17,48,59,0,55.00000000000001,49,55.00000000000001,0,65,13,9,13,15,24,27,34,0,0,34,94,28.000000000000004,36,0,0,0,0,0,12,0,0,6,4,5,68,17,12,11,17
15-1299,370190,74038,Information Technology Project Managers,5,Information Technology,Bachelor's degree,None,95270,Average,23,36,56.99999999999999,0,0,0,0,21,0,0,31,13,27,0,9,7.000000000000001,5,51,46,0,0,0,0,0,26,1,14.000000000000002,6,10,14.000000000000002,4,17,11,8,15,55.00000000000001,74,61,95,89,56.00000000000001,69,64,94,69,76,74,51,78,49,43,61,0,0,0,0,0,59,78,99,74,63,34,61,50,47,45,45,45,0,25,12,4,11,22,24,28.000000000000004,0,20,0,50,32,35,57.99999999999999,0,0,0,0,0,9,0,0,9,6,9,31,28.999999999999996,21,6,24
15-1299,370190,74038,Web Administrators,5,Information Technology,Bachelor's degree,None,95270,Average,41,50,55.00000000000001,14.000000000000002,0,0,0,39,27,5,28.999999999999996,17,0,0,0,3,0,41,21,0,0,0,0,0,13,0,19,1,6,11,5,3,6,5,7.000000000000001,34,46,35,81,65,30,33,44,80,62,72,77,23,63,60,40,37,0,23,0,23,0,54,76,99,76,64,0,51,54,27,30,41,43,0,54,3,0,5,9,22,20,14.000000000000002,0,21,60,23,25,28.999999999999996,0,0,0,0,0,13,0,0,4,1,6,55.00000000000001,25,9,0,13
15-2011,23040,23040,Actuaries,1,Finance,Bachelor's degree,Long-term on-the-job training,105900,Much faster than average,39,48,56.99999999999999,0,0,0,0,18,0,0,0,0,11,20,0,1,0,35,17,0,0,0,0,0,13,0,1,1,0,6,0,0,0,0,0,53,43,54,91,66,23,38,42,74,74,87,67,75,44,48,25,46,0,0,0,0,0,41,65,100,88,52,0,16,22,20,70,71,71,0,21,0,0,0,0,0,0,0,0,0,32,23,28.000000000000004,33,0,0,0,0,0,9,0,0,3,0,2,35,17,7.000000000000001,1,0
15-2021,1770,1770,Mathematicians,1,"Science, Technology, Engineering & Mathematics",Master's degree,None,108100,Slower than average,37,37,68,0,0,0,0,25,0,5,0,0,0,10,33,2,2,34,23,0,0,0,0,0,16,0,3,3,0,1,0,5,5,3,0,22,34,33,68,66,22,26,30,65,78,91,68,24,27,18,28.000000000000004,28.000000000000004,0,0,0,0,0,17,70,98,92,38,0,52,28.999999999999996,0,86,75,86,0,16,2,3,3,6,0,11,11,0,0,26,0,14.000000000000002,45,0,0,0,0,0,11,0,0,1,0,1,20,27,13,2,0
15-2031,98700,98700,Operations Research Analysts,1,Business Management & Administration,Bachelor's degree,None,82360,Much faster than average,39,63,56.99999999999999,0,0,0,0,14.000000000000002,0,0,0,0,0,0,14.000000000000002,1,3,41,20,0,0,0,0,0,43,0,3,1,0,11,1,11,6,6,0,33,35,43,86,67,18,36,38,83,77,87,77,49,34,44,21,60,0,0,0,0,0,28.000000000000004,79,100,84,36,0,59,39,48,68,64,68,0,25,1,1,4,3,0,0,13,0,0,35,36,24,40,0,0,0,0,0,14.000000000000002,0,0,0,0,0,48,15,8,0,0
15-2041,31370,15685,Biostatisticians,2,"Science, Technology, Engineering & Mathematics",Master's degree,None,95570,Much faster than average,56.99999999999999,48,70,0,9,0,0,23,7.000000000000001,7.000000000000001,0,0,14.000000000000002,42,61,1,2,41,26,0,0,0,0,0,0,0,1,3,1,3,0,1,2,2,0,41,33,40,73,68,28.000000000000004,37,44,85,73,75,65,23,36,23,24,30,0,5,0,7.000000000000001,0,43,70,93,83,43,0,32,25,22,73,59,71,0,28.999999999999996,1,1,2,8,11,12,0,0,0,32,28.999999999999996,33,38,0,0,0,0,0,14.000000000000002,0,0,5,2,1,36,23,13,1,14.000000000000002
15-2041,31370,15685,Statisticians,2,"Science, Technology, Engineering & Mathematics",Master's degree,None,95570,Much faster than average,52,50,70,0,0,0,0,27,0,9,0,0,10,22,38,3,3,36,23,0,0,0,0,0,0,0,3,4,0,4,0,7.000000000000001,4,3,0,25,41,33,76,70,21,30,30,73,86,89,71,21,24,20,15,38,0,0,0,0,0,28.000000000000004,68,96,82,36,0,17,20,14.000000000000002,82,73,77,0,23,4,0,0,1,0,0,0,0,0,30,28.999999999999996,22,38,0,0,0,0,0,16,0,0,1,0,0,35,20,13,1,0
15-2051,105980,52990,Business Intelligence Analysts,2,Information Technology,Bachelor's degree,Long-term on-the-job training,100910,Much faster than average,36,23,61,0,0,0,0,16,0,7.000000000000001,0,0,0,0,0,3,4,45,18,0,0,0,0,0,15,0,0,0,0,9,0,5,3,1,0,23,28.999999999999996,26,85,70,30,35,31,70,67,78,54,46,46,51,0,50,0,0,0,0,0,59,60,98,81,56.00000000000001,0,34,20,24,55.00000000000001,52,54,0,24,1,1,3,3,0,0,0,0,0,40,33,22,38,0,0,0,0,0,16,0,0,1,0,0,50,16,12,0,0
15-2051,105980,52990,Clinical Data Managers,2,"Science, Technology, Engineering & Mathematics",Bachelor's degree,Long-term on-the-job training,100910,Much faster than average,52,48,59,0,21,0,0,23,5,13,0,0,14.000000000000002,39,41,3,6,48,28.999999999999996,0,0,0,0,0,0,0,1,1,0,6,0,1,1,0,0,31,35,34,88,81,37,45,45,84,56.00000000000001,81,61,13,61,18,14.000000000000002,36,0,0,0,5,0,53,68,100,86,70,0,31,30,21,55.00000000000001,46,52,0,34,3,0,0,4,0,9,0,0,0,24,15,15,31,0,0,0,0,5,13,0,0,5,1,3,48,11,8,0,10
15-2099,3970,3970,Bioinformatics Technicians,1,Government & Public Administration,Bachelor's degree,Long-term on-the-job training,62460,Much faster than average,43,0,59,0,0,0,0,32,0,0,35,12,0,37,72,16,11,59,24,0,0,0,0,0,0,2,4,3,5,8,1,9,4,6,0,25,27,20,41,72,21,25,46,83,76,93,75,0,35,25,36,23,0,0,0,0,0,44,86,97,82,53,0,42,48,25,55.00000000000001,48,59,0,30,22,5,21,3,23,20,0,0,0,24,15,0,30,0,0,0,0,0,0,0,0,7.000000000000001,3,7.000000000000001,48,18,10,6,16
17-1011,100400,100400,"Architects, Except Landscape and Naval",1,Architecture & Construction,Bachelor's degree,Internship/residency,80180,Slower than average,18,63,59,0,0,0,0,34,25,9,15,0,13,0,22,9,1,54,41,25,0,0,0,0,34,5,19,30,32,40,0,36,41,37,20,52,56.99999999999999,54,98,89,44,49,66,90,54,62,65,50,69,59,51,51,0,30,16,27,0,57.99999999999999,69,99,74,53,86,78,97,49,59,59,55.00000000000001,0,44,21,14.000000000000002,36,4,20,39,46,35,50,42,57.99999999999999,45,43,0,0,0,0,0,14.000000000000002,0,0,10,6,16,53,26,24,8,33
17-1012,17430,17430,Landscape Architects,1,Architecture & Construction,Bachelor's degree,Internship/residency,67950,Little or no change,11,54,55.00000000000001,0,0,0,0,27,25,0,25,15,20,12,60,8,1,48,35,0,0,0,0,0,48,3,18,28.999999999999996,8,55.00000000000001,6,30,50,30,24,53,62,60,96,87,39,46,74,89,50,62,62,41,64,59,64,56.99999999999999,0,27,13,25,0,60,63,99,76,44,77,70,87,31,45,45,45,0,47,20,10,33,10,24,35,51,43,61,42,68,52,46,0,0,0,0,0,9,0,0,8,4,6,45,32,23,10,38
17-1021,12610,12610,Cartographers and Photogrammetrists,1,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,68900,Average,16,11,55.00000000000001,0,14.000000000000002,7.000000000000001,0,41,28.999999999999996,9,34,20,0,0,0,5,0,54,27,9,0,0,0,0,31,1,24,20,4,31,3,13,26,5,24,34,35,0,92,80,28.000000000000004,40,81,86,48,75,56.99999999999999,0,44,0,56.99999999999999,0,0,41,0,39,0,51,70,97,97,63,19,43,61,38,45,45,43,0,78,28.000000000000004,4,8,0,42,18,18,0,0,41,89,0,32,0,11,0,0,9,20,0,0,19,2,14.000000000000002,63,21,10,9,16
17-1022,46390,23195,Geodetic Surveyors,2,Architecture & Construction,Bachelor's degree,Internship/residency,61600,Slower than average,43,25,56.99999999999999,0,34,23,23,39,32,16,43,36,13,9,13,10,5,40,28.999999999999996,34,14.000000000000002,14.000000000000002,16,14.000000000000002,31,11,28.999999999999996,35,24,56.00000000000001,19,26,70,24,41,41,49,44,88,76,28.999999999999996,40,55.00000000000001,79,69,87,68,33,51,34,54,39,0,41,37,39,18,54,72,95,94,84,33,74,60,34,68,59,70,20,63,28.000000000000004,34,46,26,46,53,26,16,0,39,77,21,34,16,18,23,27,13,30,18,7.000000000000001,26,21,22,44,45,38,44,54
17-1022,46390,23195,Surveyors,2,Architecture & Construction,Bachelor's degree,Internship/residency,61600,Slower than average,21,27,56.99999999999999,0,30,25,23,45,41,28.999999999999996,45,50,20,14.000000000000002,25,19,9,48,30,43,14.000000000000002,30,20,18,38,18,53,65,23,80,28.000000000000004,69,90,28.999999999999996,47,55.00000000000001,60,55.00000000000001,99,78,48,45,67,81,57.99999999999999,77,60,43,67,54,68,33,11,43,41,43,36,61,68,98,92,62,59,65,66,40,56.99999999999999,59,59,25,77,44,59,74,16,56.00000000000001,66,49,19,0,35,74,16,41,28.999999999999996,39,28.999999999999996,28.999999999999996,23,36,32,21,41,37,33,43,65,56.00000000000001,66,69
17-2011,56640,56640,Aerospace Engineers,1,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,122270,Average,0,71,68,0,0,0,0,28.999999999999996,0,0,34,27,0,0,0,2,0,50,23,0,0,0,0,0,40,1,10,13,9,21,0,42,14.000000000000002,19,23,32,35,28.000000000000004,85,81,35,49,61,87,72,91,76,22,45,18,0,33,0,0,0,0,0,44,66,100,75,34,31,87,77,56.99999999999999,68,54,68,0,22,28.000000000000004,32,59,8,44,40,0,0,0,26,11,10,35,0,0,0,0,0,9,0,0,7.000000000000001,0,9,27,24,18,8,28.000000000000004
17-2021,1120,1120,Agricultural Engineers,1,"Agriculture, Food & Natural Resources",Bachelor's degree,None,82640,Slower than average,23,46,63,0,20,13,11,32,13,0,51,53,11,12,65,6,5,45,37,13,11,9,11,11,46,12,22,36,16,63,34,53,56.99999999999999,50,41,51,64,52,91,76,37,49,60,85,60,80,63,41,57.99999999999999,46,54,48,7.000000000000001,28.999999999999996,27,14.000000000000002,25,48,70,99,78,47,66,87,77,56.00000000000001,56.99999999999999,55.00000000000001,56.99999999999999,11,34,36,34,48,10,41,52,28.000000000000004,20,0,35,56.99999999999999,35,43,7.000000000000001,11,7.000000000000001,9,7.000000000000001,14.000000000000002,9,0,17,16,17,25,32,23,23,46
17-2031,17190,17190,Bioengineers and Biomedical Engineers,1,Health Science,Bachelor's degree,None,97410,Average,50,63,64,41,39,41,37,41,25,18,52,36,26,62,80,5,32,49,35,0,0,0,0,0,14.000000000000002,1,9,7.000000000000001,1,15,4,16,7.000000000000001,8,11,40,57.99999999999999,47,85,76,30,38,43,89,74,83,70,30,49,44,27,41,0,36,13,34,11,40,84,100,76,40,21,93,83,55.00000000000001,66,55.00000000000001,63,5,34,26,18,42,9,49,33,0,12,0,41,0,15,38,0,13,0,0,0,13,0,0,5,3,6,24,28.000000000000004,18,5,23
17-2041,24180,24180,Chemical Engineers,1,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,105550,Average,41,64,59,0,34,0,0,27,0,14.000000000000002,38,36,0,14.000000000000002,49,5,11,45,27,0,0,0,0,0,28.000000000000004,4,19,33,26,35,4,50,31,39,18,39,51,43,89,74,26,46,40,88,79,87,68,45,42,40,28.000000000000004,49,0,14.000000000000002,0,16,18,34,76,100,82,36,45,94,84,71,66,59,61,14.000000000000002,28.999999999999996,49,39,73,7.000000000000001,37,22,10,0,0,32,37,0,40,0,0,0,0,0,13,0,0,8,5,14.000000000000002,25,32,24,12,23
17-2051,304310,101436.66666666667,Civil Engineers,3,Architecture & Construction,Bachelor's degree,None,88050,Average,27,64,56.99999999999999,0,0,13,23,23,0,7.000000000000001,18,12,0,0,21,7.000000000000001,4,44,21,21,0,0,0,0,49,7.000000000000001,25,31,30,49,11,44,45,28.999999999999996,17,50,59,56.00000000000001,98,80,32,48,64,85,54,73,59,46,66,54,50,44,0,16,7.000000000000001,0,0,47,59,100,85,55.00000000000001,76,92,85,28.999999999999996,68,56.99999999999999,68,0,28.999999999999996,22,24,49,4,14.000000000000002,21,18,13,0,31,49,15,33,0,0,0,0,0,11,0,0,13,6,17,33,30,26,12,28.999999999999996
17-2051,304310,101436.66666666667,Transportation Engineers,3,Architecture & Construction,Bachelor's degree,None,88050,Average,36,56.99999999999999,59,0,7.000000000000001,0,0,25,13,9,15,16,0,0,25,7.000000000000001,5,48,34,11,0,0,0,0,71,5,23,33,23,54,16,33,50,30,27,47,57.99999999999999,53,96,81,36,49,65,88,54,75,61,42,61,52,53,53,0,23,7.000000000000001,11,0,56.00000000000001,60,100,79,59,79,89,87,25,66,61,63,0,40,22,32,47,10,18,34,22,17,0,38,56.00000000000001,25,41,0,0,0,0,0,14.000000000000002,0,0,14.000000000000002,7.000000000000001,14.000000000000002,31,27,25,24,28.999999999999996
17-2051,304310,101436.66666666667,Water/Wastewater Engineers,3,"Agriculture, Food & Natural Resources",Bachelor's degree,None,88050,Average,36,55.00000000000001,59,0,14.000000000000002,0,0,18,0,0,17,15,0,0,65,4,19,47,24,7.000000000000001,0,0,0,0,30,4,24,31,18,52,6,34,47,30,24,50,50,53,94,79,28.000000000000004,47,61,84,61,73,55.00000000000001,47,56.99999999999999,55.00000000000001,50,42,0,13,5,0,0,49,57.99999999999999,99,72,35,72,91,88,35,64,56.99999999999999,64,0,14.000000000000002,34,25,42,8,22,18,11,0,0,28.999999999999996,43,10,45,0,0,0,0,0,7.000000000000001,0,0,11,5,7.000000000000001,31,26,21,14.000000000000002,27
17-2061,73750,73750,Computer Hardware Engineers,1,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,128170,Slower than average,39,56.99999999999999,59,16,39,30,30,37,27,11,73,21,0,0,13,1,1,45,35,0,0,0,0,0,16,1,6,8,2,14.000000000000002,4,13,9,8,14.000000000000002,38,55.00000000000001,48,79,74,23,39,41,84,70,82,85,28.999999999999996,38,37,22,41,0,23,0,32,0,38,93,98,85,53,0,91,83,50,48,46,48,0,37,11,5,19,8,40,26,0,0,0,37,14.000000000000002,0,34,0,5,0,0,0,14.000000000000002,0,0,8,6,7.000000000000001,35,27,15,8,19
17-2071,186020,186020,Electrical Engineers,1,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,100420,Average,21,46,59,0,27,28.999999999999996,34,34,25,7.000000000000001,59,27,0,0,0,1,1,48,38,0,0,0,0,0,18,1,15,22,12,16,5,30,20,15,24,31,46,28.999999999999996,89,78,24,36,59,88,56.99999999999999,74,62,26,49,26,26,41,0,27,0,27,0,51,76,99,82,46,31,84,74,47,56.99999999999999,52,56.99999999999999,0,23,25,25,62,8,39,35,0,11,0,28.999999999999996,26,0,26,0,0,0,0,0,9,0,0,8,3,10,30,27,17,13,35
17-2072,107170,53585,"Electronics Engineers, Except Computer",2,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,104820,Average,41,48,59,9,41,39,43,48,41,20,71,28.999999999999996,11,11,0,0,3,51,21,0,0,0,0,0,26,0,3,6,10,11,0,15,9,7.000000000000001,14.000000000000002,32,40,20,72,76,24,34,66,89,57.99999999999999,76,74,26,60,25,0,18,0,39,27,43,23,48,91,95,79,56.99999999999999,23,81,71,56.00000000000001,52,45,55.00000000000001,20,55.00000000000001,20,16,28.999999999999996,12,56.99999999999999,43,12,20,0,34,28.999999999999996,17,25,11,9,9,13,11,21,11,0,17,11,16,32,31,19,10,17
17-2072,107170,53585,Radio Frequency Identification Device Specialists,2,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,104820,Average,0,43,54,0,37,32,32,34,28.999999999999996,23,47,24,0,0,0,1,6,45,28.999999999999996,0,0,0,0,0,30,1,10,7.000000000000001,12,31,1,33,13,12,19,32,48,35,92,84,42,55.00000000000001,68,86,52,73,78,25,67,53,36,55.00000000000001,0,37,0,36,14.000000000000002,52,88,100,83,54,25,77,68,53,48,46,45,13,40,22,19,33,15,41,40,0,0,0,49,31,12,32,0,18,0,0,0,28.999999999999996,0,0,11,5,14.000000000000002,33,31,20,14.000000000000002,34
17-2081,42660,42660,Environmental Engineers,1,"Agriculture, Food & Natural Resources",Bachelor's degree,None,96820,Slower than average,16,34,68,0,0,0,0,16,0,7.000000000000001,37,36,10,12,60,6,16,44,40,0,0,0,0,0,31,10,28.999999999999996,41,23,59,16,43,53,46,34,44,66,51,93,75,33,44,56.00000000000001,82,61,76,57.99999999999999,34,57.99999999999999,44,56.00000000000001,48,0,0,5,0,0,31,56.00000000000001,99,63,28.999999999999996,56.00000000000001,83,73,34,56.99999999999999,54,56.99999999999999,0,22,50,27,53,7.000000000000001,38,32,22,0,0,36,51,23,35,0,0,0,0,0,14.000000000000002,0,0,16,9,17,20,36,26,18,38
17-2111,22870,11435,Fire-Prevention and Protection Engineers,2,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,99040,Average,23,56.99999999999999,56.99999999999999,0,21,0,0,27,0,0,23,18,0,0,18,4,5,50,28.999999999999996,0,0,0,0,0,25,4,25,33,34,43,1,45,41,35,21,46,56.00000000000001,46,95,79,36,46,63,80,64,80,57.99999999999999,34,65,51,34,54,5,20,21,0,0,51,57.99999999999999,100,79,44,74,84,83,36,45,43,43,0,24,31,25,55.00000000000001,5,17,39,11,0,0,37,33,18,28.000000000000004,0,0,0,7.000000000000001,0,11,0,0,20,20,19,30,35,28.000000000000004,11,44
17-2111,22870,11435,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",2,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,99040,Average,21,52,61,0,0,0,0,26,0,13,25,28.999999999999996,31,33,51,9,13,50,50,16,7.000000000000001,11,0,12,42,17,38,46,40,61,28.000000000000004,62,56.00000000000001,45,33,51,52,39,92,82,43,49,61,81,64,72,51,39,72,47,35,53,0,17,19,21,20,62,54,97,82,46,53,67,57.99999999999999,56.00000000000001,47,44,50,10,35,46,47,76,17,37,48,22,25,0,39,42,41,52,0,0,0,0,0,25,0,0,25,15,21,28.000000000000004,45,35,34,45
17-2112,293950,73487.5,Human Factors Engineers and Ergonomists,4,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,95300,Faster than average,34,54,66,0,21,0,0,18,0,7.000000000000001,0,0,20,32,39,6,10,57.99999999999999,28.999999999999996,13,0,0,0,0,24,5,28.999999999999996,26,16,41,8,36,37,33,9,48,44,32,91,79,33,45,61,78,66,73,52,25,60,44,41,56.99999999999999,0,0,0,5,0,56.00000000000001,50,100,73,48,18,71,56.99999999999999,50,56.99999999999999,55.00000000000001,59,0,31,28.999999999999996,22,44,3,18,36,0,15,0,35,0,52,44,0,0,0,0,0,14.000000000000002,0,0,13,11,16,42,36,33,10,32
17-2112,293950,73487.5,Industrial Engineers,4,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,95300,Faster than average,16,36,61,0,0,0,0,21,0,14.000000000000002,36,40,0,0,16,5,7.000000000000001,50,25,7.000000000000001,0,0,0,0,31,4,22,27,11,28.000000000000004,8,44,19,15,28.999999999999996,45,46,23,92,88,47,59,72,90,49,73,64,36,55.00000000000001,38,0,32,0,28.999999999999996,25,28.999999999999996,27,54,64,98,81,54,50,72,74,67,55.00000000000001,48,50,21,37,47,39,76,19,55.00000000000001,49,0,0,0,28.999999999999996,19,15,53,0,0,0,7.000000000000001,0,20,5,0,17,7.000000000000001,13,22,41,34,20,47
17-2112,293950,73487.5,Manufacturing Engineers,4,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,95300,Faster than average,36,55.00000000000001,63,43,52,45,43,34,32,28.999999999999996,45,50,23,0,23,14.000000000000002,6,56.00000000000001,36,14.000000000000002,0,0,0,0,44,5,24,30,16,21,4,54,22,22,26,47,48,40,91,81,49,52,34,82,54,74,64,37,41,37,16,47,9,36,32,36,36,53,68,100,80,39,43,76,70,70,64,64,66,20,36,51,48,82,30,56.99999999999999,48,0,18,0,37,22,17,40,13,25,20,27,18,32,16,0,16,9,16,30,38,32,19,43
17-2112,293950,73487.5,Validation Engineers,4,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,95300,Faster than average,14.000000000000002,56.99999999999999,59,0,0,0,0,20,0,20,33,33,0,16,25,3,5,59,19,0,0,0,0,0,25,1,21,26,8,16,5,30,15,15,12,46,50,36,86,78,39,53,59,86,68,86,57.99999999999999,28.999999999999996,65,26,21,40,0,27,11,27,11,61,61,97,91,65,20,72,61,65,52,50,55.00000000000001,11,31,28.999999999999996,30,57.99999999999999,18,51,36,0,0,0,30,22,13,43,0,0,0,0,0,25,0,0,14.000000000000002,7.000000000000001,15,25,34,23,13,25
