code,employment,employment2,occupation,code.variants,career_cluster,entry_level_education,typical_on_the_job_training,annual_wage_2021,projected_growth_2020.2030,programming.l,operations_analysis.l,written_expression.l,equipment_maintenance.l,repairing.l,manual_dexterity.l,medicine_and_dentistry.l,exposed_to_disease_or_infections.l,physical_proximity.l,very_hot_or_cold_temperatures.l,in_a_enclosed_vehicle_or_equipment.l,in_an_open_vehicle_or_equipment.l,outdoors_exposed_to_weather.l,personnel_and_human_resources.l,monitoring_and_controlling_resources.l,staffing_organizational_units.l,contact_with_others.l,deal_with_unpleasant_or_angry_people.l,deal_with_external_customers.l,interpreting_the_meaning_of_information_for_others.l,processing_information.l,working_with_computers.l,economics_and_accounting.l,sales_and_marketing.l,selling_or_influencing_others.l,control_precision.l,multilimb_coordination.l,arm_hand_steadiness.l,administrative.l,electronic_mail.l,importance_of_repeating_same_tasks.l,building_and_construction.l,design.l,production_and_processing.l,basic.mathematics.l,number_facility.l,mathematical_reasoning.l,spend_time_using_your_hands_to_handle_control_or_feel_objects_tools_or_controls.l,pace_determined_by_speed_of_equipment.l,handling_and_moving_objectives.l,history_and_archeology.l,fine_arts.l,public_speaking.l,extent_flexibility.l,stamina.l,spend_time_bending_or_twisting_the_body.l,spend_time_kneeling_crouching_stooping_or_crawling.l,spend_time_making_repetitive_motions.l,spend_time_standing.l,spend_time_walking_and_running.l
19-3093,2910,2910,Historians,1,"Science, Technology, Engineering & Mathematics",Master's degree,None,63940,Average,0,27,70,0,0,14.000000000000002,10,7.000000000000001,56.00000000000001,20,18,5,30,22,51,32,79,28.999999999999996,71,67,68,50,22,35,33,13,5,7.000000000000001,57.99999999999999,81,55.00000000000001,28.000000000000004,38,30,16,18,21,42,0,46,78,51,46,7.000000000000001,9,15,9,51,37,18
19-3094,5650,5650,Political Scientists,1,"Science, Technology, Engineering & Mathematics",Master's degree,None,122510,Average,9,34,68,0,0,0,0,7.000000000000001,31,1,8,1,0,35,42,47,73,33,52,79,85,50,24,20,33,0,0,0,38,99,34,0,0,0,45,32,43,24,0,0,65,0,76,0,0,3,0,30,28.000000000000004,9
19-3099,34330,34330,Transportation Planners,1,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,84430,Slower than average,25,45,56.99999999999999,0,0,0,0,0,42,25,43,6,36,43,53,51,81,37,76,63,71,59,40,54,49,13,7.000000000000001,0,45,100,40,46,70,20,54,50,52,20,1,12,32,0,47,0,0,4,3,28.999999999999996,25,17
19-4012,13560,6780,Agricultural Technicians,2,"Agriculture, Food & Natural Resources",Postsecondary nondegree award,Moderate-term on-the-job training,40430,Average,11,0,54,11,18,41,17,15,56.00000000000001,57.99999999999999,61,45,69,54,50,28.999999999999996,84,39,56.00000000000001,52,75,48,19,23,20,43,41,43,64,78,75,22,32,35,43,43,43,62,35,73,24,0,24,27,20,38,20,47,46,34
19-4012,13560,6780,Precision Agriculture Technicians,2,"Science, Technology, Engineering & Mathematics",Bachelor's degree,Long-term on-the-job training,40430,Average,23,46,55.00000000000001,34,34,37,0,3,48,53,82,57.99999999999999,72,40,51,23,78,37,67,55.00000000000001,68,55.00000000000001,35,46,56.00000000000001,45,43,36,49,97,42,17,36,35,48,46,46,54,40,52,12,0,38,21,20,18,21,32,43,28.999999999999996
19-4013,11530,11530,Food Science Technicians,1,"Agriculture, Food & Natural Resources",Postsecondary nondegree award,Moderate-term on-the-job training,46590,Average,7.000000000000001,13,54,30,27,34,0,12,56.99999999999999,48,11,6,9,24,44,37,76,34,39,52,68,42,14.000000000000002,0,38,34,28.999999999999996,37,53,57.99999999999999,72,0,21,60,45,45,43,64,37,70,0,0,17,9,13,28.000000000000004,19,54,79,53
19-4021,76150,76150,Biological Technicians,1,"Agriculture, Food & Natural Resources",Bachelor's degree,None,48140,Average,25,23,55.00000000000001,25,13,39,0,39,51,10,11,4,12,20,36,9,79,15,23,43,80,52,0,0,0,39,36,43,33,96,59,0,0,15,52,45,50,60,23,76,0,0,33,20,16,13,11,47,45,35
19-4031,57690,57690,Chemical Technicians,1,Manufacturing,Associate's degree,Moderate-term on-the-job training,48990,Average,9,37,56.99999999999999,43,39,43,0,13,51,18,11,9,23,19,40,0,73,43,41,37,70,51,0,0,20,43,43,43,46,100,66,12,21,44,45,45,45,75,49,72,0,0,22,27,25,34,17,45,67,46
19-4042,34110,34110,"Environmental Science and Protection Technicians, Including Health",1,"Agriculture, Food & Natural Resources",Associate's degree,None,47370,Faster than average,16,43,56.99999999999999,30,28.999999999999996,37,23,26,51,53,81,30,79,38,50,38,79,35,69,57.99999999999999,68,44,34,44,49,39,36,41,56.00000000000001,98,38,55.00000000000001,57.99999999999999,32,45,45,46,50,13,62,34,0,38,30,23,28.999999999999996,27,31,44,31
19-4043,9210,9210,"Geological Technicians, Except Hydrologic Technicians",1,"Agriculture, Food & Natural Resources",Bachelor's degree,Long-term on-the-job training,48310,Average,15,0,51,0,0,28.999999999999996,0,2,44,32,39,20,38,25,41,15,65,33,43,44,65,48,17,0,26,35,28.999999999999996,37,41,92,68,26,39,35,40,45,42,50,22,56.00000000000001,28.999999999999996,0,20,22,16,19,15,42,44,28.000000000000004
19-4051,5360,2680,Nuclear Monitoring Technicians,2,Manufacturing,Associate's degree,Moderate-term on-the-job training,99340,Decline,9,0,55.00000000000001,18,11,34,14.000000000000002,9,70,55.00000000000001,35,16,57.99999999999999,17,33,0,85,45,44,52,74,51,0,0,27,39,28.999999999999996,43,34,93,67,23,25,18,45,43,43,53,10,62,0,0,47,27,23,32,27,33,50,37
19-4051,5360,2680,Nuclear Technicians,2,Manufacturing,Associate's degree,Moderate-term on-the-job training,99340,Decline,11,0,45,41,48,36,19,14.000000000000002,72,77,53,18,73,20,28.999999999999996,18,83,41,19,45,67,44,0,0,12,43,39,41,41,91,83,37,46,36,48,50,48,64,23,68,12,0,39,39,25,31,28.999999999999996,34,52,56.00000000000001
19-4061,28690,28690,Social Science Research Assistants,1,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,49720,Average,39,28.999999999999996,55.00000000000001,0,0,0,13,0,47,3,10,0,6,28.000000000000004,38,28.999999999999996,67,23,42,61,83,51,34,21,32,0,0,0,65,91,71,0,0,0,55.00000000000001,45,45,18,8,0,15,0,21,0,0,4,3,38,19,11
19-4071,30440,30440,Forest and Conservation Technicians,1,"Agriculture, Food & Natural Resources",Associate's degree,None,39290,Little or no change,23,16,46,27,27,43,14.000000000000002,15,68,67,79,43,85,43,56.00000000000001,46,85,52,71,49,57.99999999999999,53,26,27,36,43,43,45,43,92,65,36,41,35,39,39,41,68,33,73,38,0,44,41,39,53,34,60,63,61
19-4092,17020,17020,Forensic Science Technicians,1,"Law, Public Safety, Corrections & Security",Bachelor's degree,Moderate-term on-the-job training,61930,Much faster than average,18,23,59,25,21,39,26,66,68,34,62,5,43,18,36,18,74,53,79,48,56.00000000000001,45,9,0,28.000000000000004,41,41,46,53,96,61,15,34,25,45,43,43,55.00000000000001,3,60,28.000000000000004,0,33,28.999999999999996,16,30,20,38,47,31
19-4099,62230,31115,Quality Control Analysts,2,"Science, Technology, Engineering & Mathematics",Associate's degree,None,48030,Average,11,27,55.00000000000001,23,20,43,0,23,60,52,15,12,27,21,23,15,75,38,28.999999999999996,44,62,37,11,0,0,37,30,43,53,91,77,17,19,61,46,43,45,82,33,49,13,0,28.000000000000004,23,25,35,28.000000000000004,49,64,52
19-4099,62230,31115,Remote Sensing Technicians,2,"Science, Technology, Engineering & Mathematics",Associate's degree,None,49030,Average,46,0,59,28.999999999999996,21,28.999999999999996,0,0,48,8,18,2,17,28.000000000000004,48,27,76,31,39,51,74,60,20,35,35,39,28.999999999999996,34,51,93,74,15,42,48,55.00000000000001,54,59,63,17,42,0,0,6,0,0,8,7.000000000000001,61,20,19
19-5011,106340,106340,Occupational Health and Safety Specialists,1,Government & Public Administration,Bachelor's degree,None,77560,Average,18,45,56.99999999999999,0,0,20,44,18,65,41,56.99999999999999,16,54,56.00000000000001,56.00000000000001,47,80,40,67,69,73,50,32,40,57.99999999999999,27,25,20,60,99,33,46,48,49,48,45,45,33,22,51,21,0,47,13,13,21,23,18,42,28.999999999999996
19-5012,21750,21750,Occupational Health and Safety Technicians,1,Government & Public Administration,High school diploma or equivalent,Moderate-term on-the-job training,51120,Average,16,37,54,0,0,25,38,28.999999999999996,55.00000000000001,44,54,13,54,56.99999999999999,53,41,86,39,54,66,77,51,38,38,54,18,27,27,67,100,56.00000000000001,48,52,54,39,41,41,28.000000000000004,14.000000000000002,52,16,0,49,25,20,21,20,25,40,38
21-1011,327500,163750,Mental Health Counselors,2,Human Services,Master's degree,None,48520,Much faster than average,9,41,61,0,0,7.000000000000001,33,27,57.99999999999999,10,23,0,7.000000000000001,40,27,19,98,61,66,57.99999999999999,53,50,19,20,18,0,7.000000000000001,0,53,92,50,0,0,16,30,30,32,28.000000000000004,0,15,0,0,40,0,7.000000000000001,5,2,28.999999999999996,28.000000000000004,22
21-1011,327500,163750,Substance Abuse and Behavioral Disorder Counselors,2,Human Services,Master's degree,None,48520,Much faster than average,14.000000000000002,21,56.99999999999999,0,0,0,40,52,56.99999999999999,3,2,1,6,19,32,32,98,74,78,46,79,56.00000000000001,23,23,52,13,14.000000000000002,14.000000000000002,55.00000000000001,89,78,0,0,34,28.999999999999996,28.999999999999996,30,9,3,35,25,8,62,13,16,10,1,20,23,19
21-1012,296370,296370,"Educational, Guidance, and Career Counselors and Advisors",1,Education & Training,Master's degree,None,60510,Faster than average,14.000000000000002,0,63,0,0,11,14.000000000000002,36,64,6,14.000000000000002,0,25,20,30,30,99,76,66,66,53,62,0,17,50,5,0,5,60,100,35,0,0,0,30,32,36,28.000000000000004,0,18,12,0,64,5,21,13,11,23,44,39
21-1013,54800,54800,Marriage and Family Therapists,1,Human Services,Master's degree,Internship/residency,49880,Much faster than average,0,43,59,0,0,0,33,43,47,9,43,0,5,13,0,21,92,69,67,48,45,41,0,19,28.999999999999996,0,0,0,57.99999999999999,96,24,0,0,0,25,27,27,6,0,0,22,13,18,0,0,5,10,10,42,20
21-1015,90310,90310,Rehabilitation Counselors,1,Human Services,Master's degree,None,38560,Faster than average,7.000000000000001,43,56.99999999999999,0,0,0,34,24,47,15,53,0,25,49,37,36,89,56.00000000000001,81,41,57.99999999999999,48,27,39,36,0,0,5,61,96,62,0,12,25,28.999999999999996,28.999999999999996,30,30,8,31,12,0,38,11,11,16,10,38,36,28.999999999999996
21-1021,340050,340050,"Child, Family, and School Social Workers",1,Human Services,Bachelor's degree,None,49150,Faster than average,7.000000000000001,43,56.99999999999999,0,0,0,26,37,56.00000000000001,13,46,0,46,32,32,19,99,87,82,45,56.99999999999999,56.00000000000001,25,34,57.99999999999999,14.000000000000002,25,16,69,100,54,0,0,15,27,28.999999999999996,34,26,0,24,22,0,47,9,18,7.000000000000001,5,59,36,28.000000000000004
21-1022,173860,173860,Healthcare Social Workers,1,Human Services,Master's degree,Internship/residency,60840,Faster than average,11,43,59,0,0,7.000000000000001,37,75,73,19,57.99999999999999,0,18,43,46,43,95,72,76,53,47,45,26,23,35,0,9,0,48,98,32,0,0,0,28.999999999999996,28.999999999999996,28.999999999999996,16,4,23,26,11,37,5,14.000000000000002,12,11,26,38,41
21-1023,113810,113810,Mental Health and Substance Abuse Social Workers,1,Human Services,Master's degree,Internship/residency,49130,Faster than average,14.000000000000002,37,61,0,0,0,37,26,56.99999999999999,11,45,0,26,32,30,20,95,76,73,54,67,45,0,0,38,0,0,0,50,97,57.99999999999999,0,0,0,28.999999999999996,36,36,14.000000000000002,0,19,13,0,42,0,9,3,5,36,30,30
21-1091,55830,55830,Health Education Specialists,1,Human Services,Bachelor's degree,None,60600,Faster than average,7.000000000000001,43,61,0,0,25,50,50,64,6,47,2,17,39,59,28.999999999999996,93,52,73,78,76,55.00000000000001,24,39,61,23,27,28.999999999999996,78,100,64,0,18,11,32,30,34,18,3,44,12,0,65,9,9,13,2,49,34,24
21-1092,92140,92140,Probation Officers and Correctional Treatment Specialists,1,"Law, Public Safety, Corrections & Security",Bachelor's degree,Short-term on-the-job training,60250,Slower than average,11,23,56.99999999999999,0,0,20,13,60,66,47,73,5,62,27,39,37,99,83,91,55.00000000000001,64,59,9,0,43,23,27,23,54,94,75,0,0,0,18,20,21,48,9,27,10,0,39,9,27,20,13,39,37,38
21-1093,398380,398380,Social and Human Service Assistants,1,Human Services,High school diploma or equivalent,Short-term on-the-job training,37610,Much faster than average,13,20,55.00000000000001,0,0,7.000000000000001,27,53,61,35,48,0,32,16,34,34,97,64,88,39,44,39,9,0,27,18,25,13,49,95,60,0,0,0,28.999999999999996,32,28.999999999999996,27,12,35,0,0,56.00000000000001,13,13,22,15,49,33,35
21-1094,61010,61010,Community Health Workers,1,Human Services,High school diploma or equivalent,Short-term on-the-job training,46590,Much faster than average,11,11,52,0,0,39,42,53,76,20,33,1,26,52,56.00000000000001,34,90,52,72,56.00000000000001,67,53,18,44,56.99999999999999,34,32,39,69,94,51,0,12,0,30,36,37,48,5,61,0,0,61,20,27,23,14.000000000000002,35,55.00000000000001,41
21-2011,50790,50790,Clergy,1,Human Services,Bachelor's degree,Moderate-term on-the-job training,49720,Slower than average,7.000000000000001,13,61,0,0,7.000000000000001,11,40,55.00000000000001,13,57.99999999999999,4,22,57.99999999999999,36,28.999999999999996,95,53,81,59,43,35,33,49,49,11,11,9,44,94,30,20,0,18,36,45,37,18,2,26,59,34,86,0,0,10,14.000000000000002,18,36,27
21-2021,21000,21000,"Directors, Religious Activities and Education",1,Human Services,Bachelor's degree,None,46980,Slower than average,11,37,56.99999999999999,0,0,0,20,13,48,9,33,0,20,49,62,54,95,36,86,55.00000000000001,60,56.00000000000001,30,48,54,0,0,0,54,90,22,12,14.000000000000002,17,41,37,34,16,1,42,28.999999999999996,30,55.00000000000001,0,0,14.000000000000002,11,15,41,37
23-1011,681010,681010,Lawyers,1,"Law, Public Safety, Corrections & Security",Doctoral or professional degree,None,127990,Average,11,34,71,0,0,5,16,14.000000000000002,34,7.000000000000001,28.000000000000004,0,9,62,39,31,92,78,73,61,73,45,47,24,68,11,0,5,38,100,55.00000000000001,11,0,21,30,36,34,38,0,0,22,0,56.00000000000001,0,0,17,1,65,23,22
23-1012,14800,14800,Judicial Law Clerks,1,"Law, Public Safety, Corrections & Security",Doctoral or professional degree,None,50750,Slower than average,9,0,64,0,0,5,0,1,37,1,0,0,0,16,0,0,77,48,60,60,74,32,14.000000000000002,0,0,0,0,0,52,97,63,0,0,0,25,36,41,39,0,9,25,0,20,0,0,7.000000000000001,0,45,27,19
23-1021,13840,13840,"Administrative Law Judges, Adjudicators, and Hearing Officers",1,"Law, Public Safety, Corrections & Security",Doctoral or professional degree,Short-term on-the-job training,102550,Little or no change,7.000000000000001,25,71,0,0,11,37,9,42,1,9,0,0,40,18,0,84,70,95,57.99999999999999,69,40,12,0,34,9,0,11,60,98,79,0,0,18,34,37,34,50,1,0,0,0,41,0,0,9,2,67,15,11
23-1022,7320,7320,"Arbitrators, Mediators, and Conciliators",1,"Law, Public Safety, Corrections & Security",Bachelor's degree,Moderate-term on-the-job training,49410,Average,7.000000000000001,14.000000000000002,66,0,0,0,0,0,64,2,16,0,2,63,0,0,68,50,31,60,64,35,34,13,36,0,0,0,51,79,24,0,0,0,28.999999999999996,30,28.999999999999996,4,3,0,0,0,16,0,0,2,1,13,19,4
23-1023,27790,27790,"Judges, Magistrate Judges, and Magistrates",1,"Law, Public Safety, Corrections & Security",Doctoral or professional degree,Short-term on-the-job training,148030,Slower than average,0,34,71,0,0,0,13,16,61,18,22,0,8,53,18,24,92,83,92,60,75,52,20,0,25,0,0,0,28.000000000000004,96,57.99999999999999,0,0,0,30,32,37,24,0,13,13,0,81,0,0,4,0,42,15,9
23-2011,336250,336250,Paralegals and Legal Assistants,1,"Law, Public Safety, Corrections & Security",Associate's degree,None,56230,Faster than average,9,7.000000000000001,56.99999999999999,0,0,7.000000000000001,8,1,39,1,5,0,3,33,25,13,89,49,67,50,71,54,16,0,13,5,0,5,80,100,67,0,0,13,23,30,28.999999999999996,44,12,36,0,0,13,0,0,15,13,57.99999999999999,25,17
23-2093,51040,51040,"Title Examiners, Abstractors, and Searchers",1,"Law, Public Safety, Corrections & Security",High school diploma or equivalent,Moderate-term on-the-job training,47310,Slower than average,0,14.000000000000002,54,0,0,11,0,1,50,12,9,0,11,0,15,0,66,40,80,56.99999999999999,73,51,10,22,14.000000000000002,11,0,9,63,99,84,0,0,33,32,30,28.999999999999996,46,4,42,0,0,11,0,0,15,13,63,23,21
25-1011,79640,79640,"Business Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,94360,Average,18,30,73,0,0,0,11,3,48,5,10,0,6,68,23,27,78,42,45,66,66,53,69,44,32,0,0,0,56.99999999999999,100,41,0,28.000000000000004,44,46,46,52,17,1,28.000000000000004,31,0,81,0,0,5,3,10,41,17
25-1021,37600,37600,"Computer Science Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,77910,Average,45,37,71,5,0,5,0,12,49,1,11,0,3,59,38,39,87,38,60,67,79,75,42,52,38,0,0,11,62,100,34,0,56.00000000000001,39,50,43,55.00000000000001,23,0,24,17,13,72,0,0,7.000000000000001,4,36,28.999999999999996,16
25-1022,44140,44140,"Mathematical Science Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,77580,Average,13,25,64,0,0,0,13,15,57.99999999999999,9,5,0,1,41,26,28.000000000000004,83,41,56.00000000000001,69,55.00000000000001,51,0,15,28.000000000000004,0,0,0,37,98,38,0,23,0,70,66,68,31,1,23,12,0,89,0,0,6,5,30,53,25
25-1031,5950,5950,"Architecture Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,95160,Average,14.000000000000002,45,71,0,0,0,0,6,76,17,11,1,24,36,42,42,82,32,48,63,66,53,22,49,53,0,0,11,48,93,24,72,87,23,54,46,46,35,17,50,54,64,86,0,0,7.000000000000001,7.000000000000001,28.000000000000004,45,21
25-1032,35440,35440,"Engineering Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,104940,Faster than average,23,41,71,0,0,0,17,9,33,5,12,1,8,0,52,54,81,28.999999999999996,37,71,87,56.99999999999999,44,36,30,0,0,9,56.99999999999999,100,31,0,77,53,64,61,61,30,10,36,0,0,79,0,0,6,3,28.000000000000004,30,22
25-1041,8570,8570,"Agricultural Sciences Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,95910,Average,13,21,70,0,0,16,18,14.000000000000002,40,21,26,13,37,53,54,52,79,35,50,75,73,42,45,41,40,25,18,16,56.99999999999999,100,39,27,43,36,46,45,46,28.999999999999996,1,65,40,14.000000000000002,88,14.000000000000002,13,9,8,22,33,21
25-1042,47690,47690,"Biological Science Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,81440,Faster than average,7.000000000000001,34,71,9,13,14.000000000000002,45,30,47,12,20,2,22,44,46,32,85,39,64,80,85,57.99999999999999,23,17,37,16,0,16,52,99,32,0,26,22,46,39,45,31,0,40,32,9,94,0,0,11,6,24,49,22
25-1043,1180,1180,"Forestry and Conservation Science Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,82330,Average,16,37,70,0,0,0,22,10,61,38,51,15,55.00000000000001,59,43,26,87,32,76,82,82,54,25,38,28.999999999999996,18,20,9,55.00000000000001,100,28.999999999999996,25,30,21,45,41,46,34,0,48,41,0,82,5,5,13,9,32,45,28.000000000000004
25-1051,10250,10250,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,98070,Average,14.000000000000002,41,73,0,0,0,23,30,56.99999999999999,11,18,12,27,48,43,28.999999999999996,82,42,56.00000000000001,74,68,54,21,20,25,0,0,0,45,100,53,15,28.999999999999996,14.000000000000002,56.99999999999999,48,56.99999999999999,37,0,37,42,17,80,0,0,14.000000000000002,8,36,47,26
25-1052,20260,20260,"Chemistry Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,79410,Average,16,43,71,0,0,7.000000000000001,36,7.000000000000001,37,2,5,0,2,45,45,30,83,41,39,78,68,43,25,20,35,0,0,0,59,100,53,22,46,31,54,45,54,25,1,43,22,0,86,0,0,6,5,23,36,17
25-1053,5440,5440,"Environmental Science Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,81980,Average,5,41,71,0,0,0,23,20,49,14.000000000000002,25,4,28.999999999999996,51,51,40,82,35,50,69,77,54,35,32,28.000000000000004,0,0,0,56.00000000000001,98,33,19,46,27,46,36,45,27,4,42,42,16,81,0,0,14.000000000000002,10,34,41,21
25-1054,12460,12460,"Physics Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,93070,Average,16,39,71,18,20,18,16,7.000000000000001,44,6,16,3,9,31,40,39,85,35,68,82,76,68,0,17,39,13,0,21,44,96,32,26,46,24,56.99999999999999,50,56.99999999999999,28.000000000000004,5,39,28.000000000000004,0,81,0,0,6,6,21,39,20
25-1061,5010,5010,"Anthropology and Archeology Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,97340,Average,7.000000000000001,34,71,0,0,9,34,23,48,20,28.000000000000004,3,22,50,35,32,82,39,55.00000000000001,84,78,56.99999999999999,23,28.000000000000004,26,0,0,9,61,97,44,13,27,0,45,34,43,40,6,28.999999999999996,91,36,81,0,0,10,10,44,44,28.000000000000004
25-1062,9040,9040,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,78910,Average,14.000000000000002,39,70,0,0,0,0,12,43,10,7.000000000000001,2,7.000000000000001,39,37,26,87,43,54,70,51,40,22,19,35,0,0,0,50,98,19,0,15,0,30,30,32,19,0,12,66,34,87,0,0,4,2,23,42,24
25-1063,11790,11790,"Economics Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,104940,Average,20,39,71,0,0,0,0,11,53,1,3,0,2,40,0,41,81,34,60,79,71,56.99999999999999,67,24,40,0,0,0,40,99,28.999999999999996,0,0,17,54,56.99999999999999,54,27,1,17,38,0,81,0,0,5,2,27,34,13
25-1064,3440,3440,"Geography Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,81440,Average,20,36,70,0,0,0,0,11,43,15,24,2,23,26,37,34,84,43,49,79,80,62,12,17,35,0,0,0,30,100,33,0,27,0,43,39,41,22,2,20,62,15,84,0,0,6,5,35,36,21
25-1065,14060,14060,"Political Science Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,81980,Average,0,41,71,0,0,0,0,5,44,2,6,0,2,52,30,38,78,49,64,66,83,45,23,0,36,0,0,0,44,100,25,0,0,0,30,28.999999999999996,34,12,0,0,69,0,80,0,0,2,0,39,35,10
25-1066,36060,36060,"Psychology Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,77860,Faster than average,14.000000000000002,32,71,0,0,0,31,14.000000000000002,40,8,1,0,0,51,38,33,84,37,56.99999999999999,88,78,56.99999999999999,0,26,35,0,0,0,59,96,50,0,0,0,46,37,45,24,0,22,43,19,76,0,0,8,6,35,33,17
25-1067,12550,12550,"Sociology Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,77980,Average,7.000000000000001,36,71,0,0,0,18,9,46,7.000000000000001,6,0,4,43,28.000000000000004,15,81,41,45,81,90,69,21,21,28.999999999999996,0,0,0,60,100,54,0,0,15,46,32,37,25,1,10,72,20,80,0,0,1,0,44,31,15
25-1071,191830,191830,"Health Specialties Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,102720,Much faster than average,7.000000000000001,39,71,11,11,14.000000000000002,64,28.999999999999996,54,4,6,0,8,52,40,28.999999999999996,94,49,67,64,65,52,27,37,26,16,16,16,60,97,28.999999999999996,0,20,28.000000000000004,43,41,43,26,1,55.00000000000001,32,18,78,13,9,18,9,42,41,15
25-1072,68060,68060,"Nursing Instructors and Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,77440,Much faster than average,16,36,70,0,0,32,66,62,66,9,12,0,6,51,37,40,91,61,88,59,76,56.99999999999999,14.000000000000002,38,35,25,28.999999999999996,41,61,97,59,0,20,0,41,41,43,49,4,56.00000000000001,26,0,74,21,21,25,15,43,52,42
25-1081,58780,58780,"Education Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,63910,Average,7.000000000000001,37,71,0,0,11,15,10,41,15,7.000000000000001,0,2,57.99999999999999,38,42,88,35,76,61,63,48,15,26,39,7.000000000000001,0,11,41,100,60,0,8,11,32,30,32,53,4,0,33,10,76,0,0,1,1,62,33,22
25-1082,4330,4330,"Library Science Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,77100,Average,11,23,70,0,0,0,0,2,44,2,16,1,3,50,31,31,84,43,56.00000000000001,78,82,59,14.000000000000002,28.999999999999996,38,0,0,0,48,100,24,0,23,16,32,32,34,28.000000000000004,3,0,49,19,56.00000000000001,0,0,2,1,59,21,9
25-1111,13790,13790,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,64600,Faster than average,7.000000000000001,32,71,0,0,0,15,20,56.99999999999999,15,16,1,13,55.00000000000001,31,23,87,43,80,56.99999999999999,54,56.00000000000001,26,46,28.000000000000004,0,0,0,59,99,51,0,18,26,28.999999999999996,28.999999999999996,34,26,1,15,35,0,79,0,0,10,7.000000000000001,35,50,30
25-1112,14110,14110,"Law Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,123470,Faster than average,11,18,71,0,0,0,11,6,41,2,6,1,4,42,27,16,88,31,51,80,70,47,33,30,32,0,0,0,48,95,21,0,12,0,32,30,30,21,1,0,41,9,80,0,0,1,1,25,39,17
25-1113,12280,12280,"Social Work Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,71010,Average,14.000000000000002,41,71,0,0,0,24,9,41,8,28.000000000000004,0,15,54,26,24,80,43,72,73,57.99999999999999,52,17,37,38,0,0,0,61,100,28.000000000000004,0,0,0,37,28.999999999999996,34,7.000000000000001,4,16,37,0,71,0,0,9,0,28.999999999999996,35,21
25-1121,94720,94720,"Art, Drama, and Music Teachers, Postsecondary",1,Education & Training,Master's degree,None,75940,Faster than average,5,37,68,0,7.000000000000001,30,14.000000000000002,17,74,5,15,2,8,36,43,42,93,34,54,56.00000000000001,42,52,18,26,50,27,14.000000000000002,30,47,95,35,23,48,18,30,27,28.999999999999996,42,1,57.99999999999999,59,93,83,5,0,21,15,42,56.00000000000001,24
25-1122,27330,27330,"Communications Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,77560,Average,9,30,70,0,0,0,0,12,51,5,4,0,4,40,30,24,88,33,47,60,56.99999999999999,49,11,28.000000000000004,46,0,0,0,59,98,31,0,15,0,39,32,32,37,4,28.999999999999996,53,50,82,0,0,2,3,37,38,19
25-1123,58480,58480,"English Language and Literature Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,75930,Average,9,28.999999999999996,71,0,0,0,0,9,50,5,1,0,0,43,35,38,86,40,56.99999999999999,83,63,48,0,30,47,0,0,0,52,94,41,0,0,0,27,27,27,31,1,21,67,44,83,0,0,2,0,19,44,17
25-1124,19640,19640,"Foreign Language and Literature Teachers, Postsecondary",1,Education & Training,Doctoral or professional degree,None,77030,Average,13,34,68,0,0,0,0,12,52,0,1,0,0,33,0,38,75,35,22,69,52,38,12,17,25,0,0,0,46,98,11,0,0,0,23,27,27,31,1,0,61,38,82,0,0,1,0,13,43,16
