occupation,entry_level_education,annual_wage_2021,judgment_and_decision.l,active_learning.l,complex_problem_solving.l,critical_thinking.l,equipment_selection.l,troubleshooting.l,repairing.l,equipment_maintenance.l,glare_sensitivity.l,peripheral_vision.l,sound_localization.l,arm_hand_steadiness.l,finger_dexterity.l,control_precision.l,inductive_reasoning.l,deductive_reasoning.l,information_ordering.l,therapy_and_counseling.l,medicine_and_dentistry.l,psychology.l,biology.l,physics.l,engineering_and_technology.l,mechanical.l,building_and_construction.l,administration_and_management.l,economics_and_accounting.l,personnel_and_human_resources.l,administrative.l,history_and_archeology.l,fine_arts.l,philosophy_and_theology.l,sociology_and_anthropology.l
Brokerage Clerks,High school diploma or equivalent,54000,0.41,0.43,0.41,0.52,0,0,0,0,0,0,0,0.23,0.37,0.23,0.45,0.54,0.43,0,0,0.19,0,0,0,0,0,0.32,0.4,0.33,0.46,0,0,0,0
Brownfield Redevelopment Specialists and Site Managers,Bachelor's degree,124650,0.57,0.55,0.59,0.61,0,0.14,0,0,0,0,0,0,0.25,0.07,0.59,0.66,0.57,0,0,0.22,0.62,0.4,0.62,0.29,0.39,0.62,0.37,0.35,0.56,0.31,0,0,0.35
Budget Analysts,Bachelor's degree,79940,0.52,0.48,0.5,0.55,0,0,0,0,0,0,0,0,0.16,0,0.55,0.55,0.54,0.13,0,0.29,0,0,0.08,0,0,0.63,0.73,0.52,0.67,0.1,0,0.23,0.26
Bus and Truck Mechanics and Diesel Engine Specialists,High school diploma or equivalent,48690,0.41,0.43,0.43,0.46,0.41,0.5,0.54,0.46,0.3,0.23,0.36,0.46,0.5,0.5,0.46,0.46,0.45,0,0,0.21,0,0.44,0.57,0.8,0.26,0.43,0.2,0.22,0.32,0,0,0,0
"Bus Drivers, Transit and Intercity",High school diploma or equivalent,48620,0.34,0.29,0.23,0.39,0.05,0.25,0.13,0.14,0.39,0.43,0.3,0.41,0.3,0.48,0.32,0.32,0.37,0,0.12,0.38,0,0.1,0.24,0.24,0.11,0.36,0.14,0.25,0.28,0.14,0,0.15,0.16
Business Continuity Planners,Bachelor's degree,74670,0.57,0.54,0.68,0.64,0,0.13,0,0,0,0,0,0,0.14,0,0.57,0.64,0.55,0.19,0.11,0.42,0,0,0.42,0.18,0.19,0.64,0.3,0.47,0.64,0.17,0,0.18,0.31
Business Intelligence Analysts,Bachelor's degree,100910,0.57,0.59,0.52,0.61,0,0,0,0,0,0,0,0,0.16,0,0.64,0.66,0.57,0,0,0.24,0,0,0.34,0,0,0.57,0.46,0.23,0.59,0,0,0,0.22
"Business Teachers, Postsecondary",Doctoral or professional degree,94360,0.57,0.63,0.54,0.63,0,0,0,0,0,0,0,0,0.14,0,0.57,0.61,0.52,0.32,0.11,0.5,0.13,0,0.23,0,0,0.72,0.69,0.68,0.57,0.31,0,0.38,0.48
Butchers and Meat Cutters,No formal educational credential,36050,0.34,0.3,0.36,0.43,0.13,0.27,0.14,0.16,0.09,0.09,0.07,0.45,0.45,0.45,0.41,0.41,0.43,0,0,0.21,0.13,0,0.14,0.34,0,0.31,0.14,0.23,0.24,0,0,0,0
"Buyers and Purchasing Agents, Farm Products",Bachelor's degree,63470,0.48,0.45,0.43,0.54,0,0.18,0,0,0,0,0,0.21,0.29,0.2,0.48,0.48,0.45,0.17,0.13,0.33,0.29,0.18,0.43,0.37,0.3,0.68,0.59,0.38,0.6,0.24,0,0,0.2
Cabinetmakers and Bench Carpenters,High school diploma or equivalent,37540,0.41,0.39,0.39,0.43,0.41,0.41,0.36,0.41,0.16,0.11,0.16,0.52,0.55,0.52,0.41,0.41,0.48,0,0.16,0,0,0.11,0.53,0.57,0.62,0.28,0,0.12,0.16,0.13,0,0,0
Camera and Photographic Equipment Repairers,High school diploma or equivalent,38200,0.43,0.45,0.45,0.48,0.45,0.52,0.55,0.52,0,0,0,0.54,0.55,0.46,0.46,0.46,0.48,0,0,0.22,0,0.18,0.46,0.66,0,0.34,0.25,0.37,0.41,0,0.17,0,0
"Camera Operators, Television, Video, and Film",Bachelor's degree,49230,0.45,0.43,0.45,0.5,0.41,0.3,0.27,0.29,0.27,0.09,0.09,0.45,0.43,0.45,0.43,0.5,0.45,0,0,0.14,0,0.13,0.37,0.34,0,0.43,0,0.16,0.37,0.28,0,0,0.25
"Captains, Mates, and Pilots of Water Vessels",Postsecondary nondegree award,81640,0.5,0.47,0.46,0.52,0.22,0.41,0.33,0.33,0.54,0.44,0.34,0.45,0.42,0.56,0.51,0.53,0.46,0.19,0.26,0.46,0,0.38,0.39,0.59,0,0.5,0.18,0.45,0.36,0,0,0,0.18
Cardiovascular Technologists and Technicians,Associate's degree,60570,0.46,0.48,0.45,0.54,0.3,0.36,0.32,0.34,0,0,0,0.45,0.45,0.45,0.55,0.55,0.48,0.31,0.58,0.5,0.33,0.38,0.18,0.23,0,0.29,0.08,0.13,0.47,0,0,0.2,0.21
"Career/Technical Education Teachers, Middle School",Bachelor's degree,61820,0.43,0.5,0.43,0.55,0.09,0.2,0.05,0,0,0,0,0.23,0.25,0.25,0.5,0.55,0.43,0.36,0.12,0.58,0.31,0.21,0.44,0.41,0.35,0.47,0.36,0.44,0.58,0.32,0.21,0.32,0.46
"Career/Technical Education Teachers, Postsecondary",Bachelor's degree,59840,0.43,0.57,0.45,0.54,0.3,0.27,0.18,0.2,0.09,0.09,0.11,0.36,0.36,0.36,0.46,0.54,0.46,0.32,0.25,0.42,0.25,0.49,0.57,0.63,0.45,0.54,0.37,0.52,0.6,0.24,0.17,0.26,0.32
"Career/Technical Education Teachers, Secondary School",Bachelor's degree,61820,0.45,0.54,0.48,0.55,0.14,0.23,0.09,0.11,0,0,0,0.41,0.39,0.3,0.55,0.59,0.52,0.5,0.25,0.59,0.25,0.26,0.45,0.3,0.24,0.49,0.37,0.5,0.65,0.33,0.24,0.34,0.54
Cargo and Freight Agents,High school diploma or equivalent,46910,0.39,0.39,0.41,0.52,0.11,0.2,0.07,0.09,0.09,0.11,0.09,0.18,0.3,0.18,0.43,0.43,0.43,0.18,0,0.23,0,0,0.33,0.39,0.22,0.6,0.35,0.27,0.54,0.18,0,0,0.22
Carpenters,High school diploma or equivalent,48260,0.41,0.39,0.38,0.45,0.29,0.37,0.35,0.29,0.29,0.24,0.24,0.43,0.44,0.46,0.45,0.46,0.44,0,0.15,0.33,0,0.31,0.42,0.63,0.76,0.5,0.21,0.32,0.32,0,0,0.16,0
Carpet Installers,No formal educational credential,46640,0.36,0.3,0.39,0.41,0.29,0.27,0.23,0.23,0.29,0.2,0.14,0.45,0.41,0.41,0.39,0.39,0.43,0,0.09,0.25,0,0.18,0.25,0.49,0.52,0.46,0.22,0.31,0.29,0,0,0,0
Cartographers and Photogrammetrists,Bachelor's degree,68900,0.45,0.48,0.45,0.54,0.14,0.2,0,0.07,0,0,0,0.39,0.41,0.41,0.57,0.55,0.5,0,0,0.13,0,0,0.43,0,0.19,0.48,0,0.34,0.51,0.18,0,0,0
Cashiers,No formal educational credential,27260,0.3,0.32,0.3,0.37,0,0.07,0,0,0,0,0,0.3,0.32,0.3,0.41,0.39,0.41,0,0.12,0.19,0,0,0,0,0,0.38,0.21,0.29,0.42,0,0,0,0.13
Cement Masons and Concrete Finishers,No formal educational credential,47340,0.3,0.25,0.37,0.34,0.23,0.25,0.16,0.18,0.3,0.2,0.13,0.43,0.41,0.45,0.34,0.37,0.41,0.2,0.11,0.18,0.18,0.2,0,0.38,0.5,0.28,0.16,0.16,0.19,0,0,0,0
Chefs and Head Cooks,High school diploma or equivalent,50160,0.46,0.54,0.46,0.55,0.27,0.25,0.14,0.16,0.11,0.11,0.05,0.43,0.43,0.32,0.48,0.59,0.48,0.34,0.19,0.57,0.48,0.31,0.35,0.47,0.35,0.65,0.56,0.66,0.59,0.26,0.31,0.24,0.35
Chemical Engineers,Bachelor's degree,105550,0.64,0.64,0.63,0.7,0.34,0.5,0,0,0,0,0,0.16,0.27,0.14,0.66,0.7,0.66,0,0.14,0.2,0.49,0.82,0.94,0.62,0.45,0.53,0.45,0.39,0.34,0.1,0,0,0
Chemical Equipment Operators and Tenders,High school diploma or equivalent,48090,0.43,0.41,0.41,0.45,0.3,0.39,0.32,0.37,0.23,0.2,0.13,0.43,0.43,0.5,0.45,0.45,0.5,0.13,0.1,0.27,0.2,0.41,0.58,0.64,0.32,0.56,0.17,0.42,0.5,0,0,0,0
Chemical Plant and System Operators,High school diploma or equivalent,70200,0.43,0.43,0.45,0.54,0.29,0.37,0.39,0.39,0.25,0.11,0.14,0.45,0.45,0.54,0.52,0.54,0.52,0,0.09,0.16,0.13,0.33,0.27,0.58,0,0.29,0.07,0.28,0.22,0,0,0.13,0.09
Chemical Technicians,Associate's degree,48990,0.46,0.46,0.45,0.59,0.39,0.43,0.39,0.43,0,0,0,0.43,0.46,0.43,0.57,0.57,0.55,0,0,0,0.24,0.24,0.36,0.32,0.12,0.25,0,0.19,0.46,0,0,0,0
"Chemistry Teachers, Postsecondary",Doctoral or professional degree,79410,0.54,0.57,0.57,0.57,0.13,0.16,0,0,0,0,0,0,0.21,0,0.63,0.64,0.54,0.31,0.36,0.45,0.69,0.59,0.54,0.4,0.22,0.48,0.25,0.45,0.59,0.22,0,0.33,0.33
Chemists,Bachelor's degree,79430,0.48,0.59,0.57,0.59,0.37,0.37,0.36,0.37,0,0,0,0.45,0.45,0.37,0.64,0.64,0.59,0,0.1,0.22,0.34,0.37,0.55,0.48,0.16,0.39,0.18,0.25,0.51,0,0,0,0
Chief Executives,Bachelor's degree,179520,0.82,0.68,0.71,0.68,0,0,0,0,0,0,0,0,0.29,0.16,0.71,0.71,0.57,0.36,0,0.56,0,0,0.23,0.15,0.29,0.89,0.62,0.72,0.5,0,0,0.26,0.43
Chief Sustainability Officers,Bachelor's degree,179520,0.57,0.55,0.59,0.59,0,0,0,0,0,0,0,0,0.2,0.07,0.59,0.68,0.54,0.25,0,0.47,0.51,0.33,0.48,0.34,0.52,0.71,0.55,0.54,0.63,0.32,0.15,0.39,0.57
"Child, Family, and School Social Workers",Bachelor's degree,49150,0.57,0.54,0.5,0.61,0,0.09,0,0,0.09,0.09,0.07,0.16,0.18,0.14,0.55,0.55,0.48,0.73,0.26,0.72,0.21,0,0,0.07,0,0.49,0.25,0.32,0.69,0.22,0,0.38,0.56
Childcare Workers,High school diploma or equivalent,27490,0.43,0.43,0.41,0.43,0,0.16,0,0,0,0,0,0.37,0.34,0,0.43,0.43,0.43,0.21,0.19,0.38,0.11,0,0.11,0,0,0.29,0.13,0.21,0.31,0.11,0.1,0.22,0.26
Chiropractors,Doctoral or professional degree,75000,0.52,0.55,0.52,0.59,0,0.09,0,0,0,0,0,0.43,0.43,0.39,0.63,0.63,0.55,0.6,0.62,0.69,0.63,0.27,0.29,0.31,0,0.56,0.44,0.55,0.64,0.18,0,0.39,0.47
Choreographers,High school diploma or equivalent,42700,0.45,0.46,0.45,0.5,0,0,0,0,0,0.16,0,0.43,0.29,0,0.46,0.5,0.48,0.24,0.24,0.46,0.16,0.25,0,0,0.14,0.51,0.25,0.41,0.41,0.43,0.9,0.45,0.49
Civil Engineering Technologists and Technicians,Associate's degree,58320,0.45,0.43,0.46,0.52,0,0.13,0,0,0.07,0.05,0.05,0.27,0.34,0.29,0.54,0.57,0.55,0.12,0.08,0.25,0.26,0.5,0.72,0.59,0.68,0.56,0.23,0.4,0.61,0.18,0,0,0
Civil Engineers,Bachelor's degree,88050,0.57,0.66,0.59,0.66,0,0.09,0.23,0.13,0,0,0,0,0.23,0.16,0.57,0.7,0.57,0,0,0.2,0.21,0.61,0.92,0.41,0.76,0.64,0.46,0.5,0.47,0.18,0,0.13,0.15
"Claims Adjusters, Examiners, and Investigators",High school diploma or equivalent,65080,0.52,0.47,0.44,0.57,0,0.14,0,0,0,0,0,0.19,0.29,0.12,0.57,0.55,0.5,0.28,0.3,0.42,0,0.14,0,0.26,0.36,0.52,0.37,0.27,0.59,0,0,0.18,0.24
Cleaners of Vehicles and Equipment,No formal educational credential,29280,0.25,0.27,0.23,0.34,0.3,0.21,0.25,0.27,0.16,0.09,0,0.36,0.32,0.43,0.32,0.32,0.32,0.12,0.1,0.21,0.1,0.2,0.26,0.35,0.17,0.39,0.23,0.28,0.28,0,0,0.11,0.13
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",High school diploma or equivalent,35090,0.3,0.3,0.3,0.3,0.18,0.3,0.16,0.25,0.23,0.11,0.11,0.43,0.41,0.43,0.34,0.34,0.39,0,0,0.44,0.15,0.19,0,0.4,0,0.33,0,0.16,0,0,0,0,0
Clergy,Bachelor's degree,49720,0.57,0.59,0.54,0.59,0,0,0,0,0,0,0,0.09,0.18,0.11,0.55,0.57,0.54,0.76,0.11,0.68,0,0,0.14,0.21,0.2,0.59,0.33,0.58,0.44,0.59,0.34,0.94,0.57
Climate Change Policy Analysts,Bachelor's degree,76530,0.52,0.55,0.59,0.57,0,0,0,0,0,0,0,0,0.09,0,0.57,0.57,0.54,0,0,0.27,0.48,0.43,0.47,0.17,0.14,0.48,0.34,0.32,0.35,0.29,0,0.19,0.44
Clinical and Counseling Psychologists,Master's degree,82510,0.57,0.58,0.57,0.58,0,0,0,0,0,0,0,0,0.19,0,0.66,0.63,0.5,0.98,0.36,0.96,0.32,0,0,0,0,0.38,0,0.45,0.5,0.18,0,0.57,0.63
Clinical Data Managers,Bachelor's degree,100910,0.52,0.57,0.52,0.61,0.21,0.09,0,0,0,0,0,0.05,0.23,0,0.55,0.61,0.57,0.14,0.39,0.24,0.41,0,0.31,0.1,0,0.52,0.13,0.31,0.53,0,0,0,0.15
Clinical Nurse Specialists,Bachelor's degree,77600,0.61,0.63,0.54,0.61,0,0.16,0,0,0,0,0,0.45,0.43,0.39,0.63,0.63,0.57,0.68,0.73,0.82,0.67,0.3,0.35,0.23,0,0.6,0.36,0.51,0.54,0.15,0,0.56,0.74
Clinical Research Coordinators,Bachelor's degree,137900,0.52,0.57,0.52,0.57,0,0.05,0,0,0,0,0,0,0.25,0,0.55,0.57,0.57,0.23,0.44,0.42,0.45,0.18,0.2,0.11,0,0.41,0.16,0.34,0.63,0,0,0.27,0.32
Coaches and Scouts,Bachelor's degree,38970,0.59,0.57,0.55,0.57,0.2,0.14,0,0,0,0.18,0,0.32,0.27,0.2,0.57,0.59,0.57,0.49,0.3,0.58,0.23,0.19,0.22,0.17,0,0.51,0.21,0.53,0.44,0.15,0,0.29,0.4
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",High school diploma or equivalent,39130,0.34,0.3,0.37,0.39,0.37,0.43,0.41,0.41,0.25,0.2,0.25,0.46,0.43,0.54,0.41,0.39,0.45,0,0,0,0,0,0.15,0.37,0,0.22,0,0,0,0,0,0,0
"Coil Winders, Tapers, and Finishers",High school diploma or equivalent,38360,0.36,0.27,0.27,0.41,0.09,0.27,0.05,0.09,0.07,0.07,0,0.45,0.46,0.45,0.37,0.37,0.37,0,0,0.3,0,0.48,0.45,0.62,0.28,0.62,0.26,0.31,0.32,0,0,0,0.23
"Coin, Vending, and Amusement Machine Servicers and Repairers",High school diploma or equivalent,39040,0.37,0.3,0.39,0.41,0.3,0.43,0.43,0.43,0.23,0.11,0.14,0.43,0.46,0.43,0.41,0.43,0.41,0.2,0,0.29,0,0.25,0.39,0.6,0.26,0.36,0.26,0.32,0.39,0,0,0.18,0.12
Commercial and Industrial Designers,Bachelor's degree,77030,0.54,0.57,0.55,0.57,0.27,0.13,0,0,0,0,0,0.39,0.39,0.3,0.55,0.66,0.55,0,0,0.29,0.21,0.55,0.81,0.65,0.3,0.55,0.29,0.44,0.54,0,0,0,0
Commercial Divers,Postsecondary nondegree award,60360,0.46,0.45,0.45,0.54,0.41,0.45,0.46,0.43,0.3,0.29,0.27,0.52,0.5,0.52,0.5,0.5,0.46,0.19,0.38,0.32,0.31,0.62,0.49,0.72,0.64,0.33,0.1,0.28,0.27,0,0,0,0
Commercial Pilots,High school diploma or equivalent,99640,0.54,0.57,0.52,0.57,0,0.37,0,0.11,0.52,0.45,0.34,0.45,0.45,0.63,0.57,0.61,0.57,0.08,0.08,0.36,0,0.45,0.35,0.47,0,0.47,0.24,0.43,0.38,0,0,0,0.11
"Communications Teachers, Postsecondary",Doctoral or professional degree,77560,0.55,0.61,0.5,0.59,0,0,0,0,0,0,0,0,0.07,0,0.55,0.57,0.45,0.52,0,0.56,0,0,0,0,0,0.58,0.11,0.4,0.59,0.53,0.5,0.77,0.61
Community Health Workers,High school diploma or equivalent,46590,0.48,0.52,0.5,0.54,0,0.16,0,0,0.14,0.16,0.14,0.39,0.43,0.34,0.54,0.54,0.45,0.61,0.42,0.62,0,0,0,0,0,0.58,0.18,0.52,0.69,0,0,0.45,0.44
Compensation and Benefits Managers,Bachelor's degree,127530,0.57,0.54,0.46,0.57,0,0,0,0,0,0,0,0.07,0.16,0.05,0.48,0.48,0.46,0.26,0.16,0.44,0,0,0,0,0,0.71,0.55,0.84,0.5,0,0,0,0.39
"Compensation, Benefits, and Job Analysis Specialists",Bachelor's degree,64120,0.54,0.52,0.54,0.57,0,0,0,0,0,0,0,0.05,0.21,0.07,0.54,0.55,0.54,0.28,0.19,0.39,0.13,0.12,0.18,0.14,0.17,0.61,0.47,0.79,0.74,0.18,0,0.27,0.37
Compliance Managers,Bachelor's degree,124650,0.55,0.55,0.5,0.61,0,0,0,0,0,0,0,0.11,0.18,0.13,0.59,0.63,0.54,0.32,0.18,0.42,0.17,0.13,0.26,0.19,0.15,0.64,0.42,0.62,0.71,0.16,0,0.24,0.28
Compliance Officers,Bachelor's degree,71650,0.52,0.43,0.43,0.55,0,0.16,0,0,0.29,0.21,0.18,0.27,0.29,0.34,0.55,0.52,0.46,0.27,0,0.38,0,0,0.07,0.16,0,0.48,0.16,0.14,0.53,0,0,0.25,0.3
Computer and Information Research Scientists,Master's degree,131490,0.66,0.7,0.63,0.61,0.25,0.43,0,0,0,0,0,0.25,0.41,0.29,0.66,0.7,0.61,0.12,0,0.34,0.29,0.5,0.69,0.32,0.17,0.54,0.3,0.39,0.38,0.14,0.1,0.17,0.27
Computer and Information Systems Managers,Bachelor's degree,159010,0.54,0.55,0.55,0.57,0.29,0.36,0.11,0.09,0,0,0,0.29,0.29,0.29,0.57,0.57,0.57,0,0,0.32,0,0,0.57,0,0,0.62,0.31,0.58,0.53,0,0,0,0.24
Computer Hardware Engineers,Bachelor's degree,128170,0.55,0.59,0.59,0.59,0.39,0.45,0.3,0.3,0,0,0,0.32,0.37,0.23,0.59,0.61,0.59,0,0,0.25,0.13,0.66,0.91,0.37,0,0.51,0.29,0.38,0.38,0,0,0,0
Computer Network Architects,Bachelor's degree,120520,0.59,0.52,0.59,0.61,0.41,0.5,0.21,0.34,0,0,0,0.25,0.3,0.29,0.57,0.63,0.61,0,0,0.24,0,0.45,0.74,0.3,0.19,0.55,0.29,0.37,0.29,0,0,0.13,0.17
Computer Network Support Specialists,Associate's degree,62760,0.48,0.48,0.46,0.54,0.39,0.45,0.43,0.39,0,0,0,0.37,0.41,0.3,0.52,0.57,0.54,0,0,0.19,0,0,0.59,0.32,0.21,0.53,0.15,0.28,0.53,0,0,0,0
Computer Numerically Controlled Tool Operators,High school diploma or equivalent,46640,0.43,0.45,0.43,0.57,0.45,0.46,0.43,0.45,0.32,0.25,0.3,0.5,0.52,0.59,0.43,0.45,0.48,0.1,0,0.14,0,0.52,0.52,0.72,0.26,0.35,0.24,0.23,0.28,0,0,0,0
Computer Numerically Controlled Tool Programmers,Postsecondary nondegree award,60780,0.45,0.52,0.48,0.5,0.43,0.39,0.3,0.34,0,0,0,0.39,0.43,0.45,0.45,0.5,0.54,0.17,0,0.26,0,0.39,0.58,0.71,0.24,0.38,0,0.28,0.39,0,0,0.21,0.13
Computer Programmers,Bachelor's degree,93000,0.46,0.46,0.55,0.55,0,0.23,0,0,0,0,0,0.16,0.27,0.16,0.55,0.55,0.57,0,0,0.25,0,0.3,0.59,0.13,0,0.38,0.3,0.3,0.46,0,0,0,0.26
"Computer Science Teachers, Postsecondary",Doctoral or professional degree,77910,0.55,0.59,0.57,0.64,0.07,0.05,0,0.05,0,0,0,0.11,0.23,0,0.55,0.55,0.55,0.32,0,0.39,0.12,0.37,0.61,0.24,0,0.6,0.42,0.59,0.62,0.17,0.13,0.32,0.28
Computer Systems Analysts,Bachelor's degree,99270,0.57,0.59,0.55,0.61,0.37,0.54,0.09,0.07,0,0,0,0.23,0.43,0.23,0.59,0.61,0.55,0,0,0.14,0,0.11,0.37,0.09,0,0.44,0.17,0.22,0.42,0,0,0,0.14
Computer Systems Engineers/Architects,Bachelor's degree,95270,0.57,0.57,0.57,0.55,0,0.36,0.13,0.16,0,0,0,0.2,0.3,0.23,0.57,0.61,0.55,0,0,0.32,0,0.23,0.7,0.19,0,0.58,0.33,0.42,0.46,0.13,0,0.16,0.23
Computer User Support Specialists,"Some college, no degree",49770,0.45,0.46,0.46,0.57,0.29,0.43,0.34,0.32,0,0,0,0.39,0.45,0.34,0.52,0.5,0.54,0,0,0.33,0,0,0.49,0.32,0,0.39,0,0.18,0.36,0,0,0,0
"Computer, Automated Teller, and Office Machine Repairers","Some college, no degree",40970,0.37,0.43,0.45,0.45,0.43,0.46,0.45,0.41,0.16,0.16,0.2,0.46,0.48,0.45,0.45,0.45,0.45,0,0,0.1,0,0.23,0.48,0.55,0,0.2,0.11,0.12,0.21,0,0,0,0
Concierges,High school diploma or equivalent,35210,0.39,0.41,0.37,0.52,0,0,0,0,0,0,0,0.11,0.13,0,0.41,0.43,0.41,0.19,0.11,0.44,0,0,0,0,0,0.46,0.3,0.36,0.64,0.26,0.2,0.33,0.26
Conservation Scientists,Bachelor's degree,63750,0.52,0.54,0.54,0.57,0,0.29,0,0,0.23,0.2,0.18,0.3,0.36,0.39,0.59,0.59,0.5,0,0,0.4,0.61,0.46,0.61,0.35,0.48,0.54,0.35,0.44,0.5,0.27,0,0.18,0.29
Construction and Building Inspectors,High school diploma or equivalent,61640,0.45,0.45,0.45,0.55,0,0.29,0,0,0.21,0.14,0.14,0.29,0.21,0.21,0.57,0.57,0.48,0,0,0.2,0.13,0.42,0.61,0.59,0.7,0.53,0.27,0.4,0.52,0.17,0,0.11,0.16
Construction Laborers,No formal educational credential,37770,0.3,0.3,0.37,0.37,0.3,0.29,0.29,0.3,0.29,0.3,0.21,0.45,0.43,0.48,0.37,0.37,0.43,0.11,0.12,0.11,0,0.15,0.26,0.5,0.68,0.25,0,0.12,0,0,0,0.19,0.13
Construction Managers,Bachelor's degree,98890,0.61,0.55,0.57,0.59,0,0.29,0,0,0.16,0,0,0,0.2,0.16,0.55,0.61,0.59,0.17,0.12,0.46,0.18,0.41,0.7,0.6,0.86,0.7,0.49,0.61,0.54,0.11,0,0.11,0.21
Continuous Mining Machine Operators,No formal educational credential,60300,0.43,0.36,0.43,0.45,0.32,0.43,0.43,0.48,0.37,0.29,0.37,0.45,0.45,0.57,0.45,0.43,0.43,0,0.17,0.25,0.13,0.31,0.39,0.67,0.39,0.39,0.13,0.29,0.19,0,0,0,0.11
"Control and Valve Installers and Repairers, Except Mechanical Door",High school diploma or equivalent,62760,0.43,0.43,0.43,0.45,0.36,0.45,0.46,0.46,0.32,0.14,0.18,0.45,0.45,0.43,0.45,0.46,0.48,0,0.14,0.28,0.21,0.48,0.6,0.73,0.48,0.48,0.25,0.26,0.38,0,0,0,0.08
Conveyor Operators and Tenders,No formal educational credential,36420,0.39,0.37,0.39,0.41,0.27,0.39,0.36,0.37,0.32,0.2,0.21,0.45,0.43,0.5,0.43,0.43,0.5,0,0,0.17,0,0,0,0.42,0,0.18,0,0.11,0.19,0,0,0,0
"Cooks, Fast Food",No formal educational credential,24180,0.3,0.32,0.3,0.34,0,0,0,0,0,0,0,0.36,0.29,0.18,0.32,0.39,0.41,0,0,0,0,0,0,0,0,0.52,0.24,0.22,0.33,0,0,0,0
"Cooks, Institution and Cafeteria",No formal educational credential,29910,0.41,0.41,0.41,0.41,0.09,0.16,0,0,0,0,0,0.43,0.43,0.32,0.43,0.43,0.45,0.21,0.12,0.32,0.15,0.18,0.19,0.18,0.08,0.47,0.19,0.32,0.32,0,0,0.23,0.2
"Cooks, Private Household",Postsecondary nondegree award,42920,0.39,0.45,0.41,0.43,0.09,0.18,0,0,0,0,0,0.41,0.43,0.34,0.43,0.45,0.43,0,0.14,0.12,0.15,0.1,0,0.17,0,0.49,0.28,0.21,0.49,0,0,0,0
"Cooks, Restaurant",No formal educational credential,30010,0.37,0.39,0.3,0.43,0.16,0.18,0,0,0,0,0,0.43,0.43,0.43,0.41,0.41,0.45,0.17,0.1,0.29,0.14,0.18,0.15,0.28,0,0.43,0.26,0.31,0.25,0,0,0,0.17
"Cooks, Short Order",No formal educational credential,28560,0.34,0.37,0.3,0.39,0,0.21,0,0,0,0,0,0.39,0.41,0.39,0.39,0.41,0.43,0.16,0.12,0.24,0.12,0,0.16,0.22,0,0.33,0.31,0.3,0.34,0,0,0.19,0.14
Cooling and Freezing Equipment Operators and Tenders,High school diploma or equivalent,40390,0.43,0.45,0.43,0.46,0.39,0.45,0.43,0.43,0.27,0.13,0.2,0.43,0.45,0.45,0.43,0.43,0.43,0,0,0.24,0,0.35,0.44,0.52,0.34,0.36,0,0,0,0,0,0,0
Coroners,Bachelor's degree,71650,0.54,0.54,0.46,0.59,0.09,0.11,0,0,0.16,0.11,0.11,0.45,0.45,0.41,0.68,0.59,0.59,0.48,0.66,0.6,0.55,0.31,0.13,0.2,0,0.53,0.26,0.54,0.6,0.2,0,0.38,0.54
Correctional Officers and Jailers,High school diploma or equivalent,47920,0.43,0.43,0.39,0.52,0,0.23,0,0,0.25,0.36,0.27,0.41,0.39,0.37,0.55,0.52,0.46,0.39,0.19,0.65,0,0,0.1,0.12,0,0.45,0.17,0.38,0.52,0,0,0.36,0.41
Correspondence Clerks,High school diploma or equivalent,37920,0.43,0.39,0.41,0.54,0,0,0,0,0,0,0,0,0.37,0,0.45,0.45,0.46,0,0,0.24,0,0,0,0,0,0.42,0.39,0.31,0.75,0,0,0,0.1
Cost Estimators,Bachelor's degree,65170,0.54,0.55,0.52,0.61,0,0,0,0,0,0,0,0,0.18,0,0.57,0.61,0.55,0,0,0.27,0,0.33,0.66,0.44,0.68,0.63,0.57,0.44,0.47,0,0,0,0.14
Costume Attendants,High school diploma or equivalent,47850,0.34,0.32,0.34,0.41,0,0.11,0,0,0.09,0,0,0.43,0.43,0.37,0.41,0.41,0.43,0.23,0,0.45,0,0.23,0.38,0.42,0.3,0.48,0.3,0.34,0.39,0.21,0.59,0.26,0.34
Counter and Rental Clerks,No formal educational credential,31330,0.32,0.32,0.34,0.41,0.11,0.14,0.09,0.09,0.09,0.13,0.09,0.3,0.29,0.36,0.39,0.41,0.43,0,0,0.25,0,0.09,0,0.19,0,0.49,0.26,0.25,0.56,0,0.09,0.15,0.17
Couriers and Messengers,High school diploma or equivalent,33050,0.29,0.32,0.34,0.37,0,0.21,0,0.14,0.32,0.27,0.29,0.37,0.36,0.43,0.32,0.41,0.43,0,0.24,0.13,0,0,0,0.15,0,0.25,0,0.13,0.28,0,0,0,0
Court Reporters and Simultaneous Captioners,Postsecondary nondegree award,60380,0.29,0.34,0.29,0.39,0,0.11,0.05,0.07,0,0,0,0.32,0.43,0.36,0.36,0.41,0.43,0,0.11,0.1,0,0,0,0,0,0.39,0.2,0,0.86,0,0,0,0
"Court, Municipal, and License Clerks",High school diploma or equivalent,44610,0.41,0.43,0.39,0.49,0,0,0,0,0,0,0,0.15,0.28,0.19,0.42,0.43,0.43,0,0,0,0,0,0,0,0,0.44,0.36,0.36,0.81,0,0,0,0
