"occupation","active_listening","pure_mathematics","reading_comprehension","natural_science","speaking","writing","active_learning","critical_thinking","learning_strategies","monitoring","complex_problem_solving","management_of_financial_resources","management_of_material_resources","management_of_personal_resources","time_management","coordination","instructing","negotiation","persuasion","service_orientation","social_perceptiveness","judgment_and_decision","systems_analysis","systems_evaluation","installation","quality_control_analysis","technology_design","equipment_selection","equipment_maintenance","programming","troubleshooting","operations_monitoring","repairing","operation_and_control","operations_analysis","multitasking","selective_attention","problem_sensitivity","fluency_of_ideas","originality","deductive_reasoning","inductive_reasoning","category_flexibility","information_ordering","perceptual_speed","flexibility_of_closure","speed_of_closure","number_facility","mathematical_reasoning","spatial_orientation","visualization","written_expression","oral_expression","oral_comprehension","written_comprehension","memorization","dynamic_flexibility","gross_body_equilibrium","extent_flexibility","gross_body_coordination","explosive_strength","static_strength","dynamic_strength","trunk_strength","stamina","response_orientation","control_precision","multilimb_coordination","rate_control","arm_hand_steadiness","finger_dexterity","manual_dexterity","speed_of_limb_movement","wrist_finger_speed","reaction_time","speech_clarity","auditory_attention","speech_recognition","sound_localization","hearing_sensitivity","far_vision","glare_sensitivity","night_vision","depth_perception","visual_color_discrimination","peripheral_vision","near_vision","native_language","history_and_archeology","foreign_language","philosophy_and_theology","fine_arts","administration_and_management","economics_and_accounting","customer_and_personal_service","personnel_and_human_resources","administrative","sales_and_marketing","communications_and_media","telecommunications","building_and_construction","engineering_and_technology","mechanical","industrial_design","computers_and_electronics","education_and_training","therapy_and_counseling","medicine_and_dentistry","public_safety_and_security","law_and_government","food_production","production_and_processing","geography","chemistry","applied_mathematics","physics","sociology_and_anthropology","biology","psychology","transportation"
"Economics Teachers, Postsecondary",0.59,0.54,0.63,0.41,0.61,0.59,0.59,0.59,0.57,0.52,0.52,0.16,0.13,0.37,0.43,0.43,0.61,0.3,0.36,0.39,0.5,0.55,0.45,0.45,0,0,0.11,0,0,0.2,0,0.16,0,0,0.39,0.36,0.39,0.55,0.46,0.43,0.59,0.59,0.46,0.46,0.36,0.39,0.34,0.57,0.54,0,0.37,0.71,0.71,0.71,0.71,0.43,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0.21,0,0,0.07,0,0.68,0.29,0.55,0,0.21,0.43,0,0,0.09,0.21,0,0.55,0.72,0.38,0.13,0.43,0,0.49,0.67,0.36,0.4,0.4,0.24,0.34,0.05,0,0,0,0,0.47,0.77,0.35,0,0.23,0.43,0,0.17,0.5,0,0.79,0,0.52,0,0.43,0.17
"Economists",0.57,0.61,0.68,0.32,0.61,0.61,0.57,0.64,0.5,0.52,0.59,0.2,0.16,0.34,0.43,0.45,0.45,0.39,0.52,0.41,0.41,0.57,0.55,0.54,0,0,0.09,0,0,0.25,0,0.11,0,0,0.41,0.29,0.39,0.59,0.57,0.5,0.63,0.61,0.45,0.52,0.32,0.41,0.32,0.61,0.61,0,0.36,0.71,0.7,0.7,0.71,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0.57,0.07,0.54,0,0.16,0.37,0,0,0.13,0.2,0,0.55,0.74,0.39,0.17,0.29,0,0.48,0.75,0.27,0.3,0.25,0.29,0.33,0.06,0,0,0,0,0.68,0.58,0,0,0,0.46,0,0,0.49,0,0.88,0.17,0.5,0,0.39,0.14
"Editors",0.57,0.34,0.73,0,0.57,0.71,0.55,0.57,0.43,0.48,0.45,0.11,0.07,0.48,0.57,0.48,0.45,0.5,0.48,0.39,0.5,0.48,0.45,0.39,0,0.46,0.09,0,0,0.11,0,0.21,0,0,0.21,0.34,0.43,0.48,0.61,0.55,0.54,0.52,0.52,0.52,0.46,0.52,0.39,0.3,0.27,0,0.43,0.71,0.59,0.61,0.7,0.39,0,0,0,0,0,0,0.07,0.18,0,0,0.11,0,0,0.2,0.36,0.18,0,0.13,0,0.5,0.29,0.55,0,0.2,0.39,0,0,0,0.37,0,0.64,0.79,0.41,0.17,0.35,0.13,0.52,0.16,0.49,0.44,0.56,0.35,0.8,0.3,0,0.14,0,0.31,0.51,0.57,0,0.09,0.23,0.36,0,0.29,0.46,0,0.4,0.1,0.41,0,0.28,0.26
"Education Administrators, Kindergarten through Secondary",0.64,0.46,0.66,0.2,0.63,0.63,0.59,0.63,0.66,0.68,0.61,0.57,0.46,0.63,0.59,0.59,0.59,0.55,0.57,0.55,0.61,0.63,0.55,0.61,0,0.43,0.11,0,0,0.11,0.09,0.11,0,0,0.34,0.41,0.43,0.64,0.55,0.57,0.64,0.59,0.57,0.54,0.34,0.45,0.39,0.43,0.48,0,0.39,0.66,0.71,0.7,0.64,0.41,0,0.09,0.09,0.11,0.09,0.14,0.11,0.3,0.13,0.07,0,0.11,0,0.07,0.2,0,0,0.13,0,0.59,0.3,0.61,0,0.23,0.46,0,0,0.13,0.21,0,0.55,0.72,0.46,0.2,0.52,0.28,0.69,0.32,0.8,0.7,0.52,0.36,0.37,0.24,0.27,0.27,0.18,0.32,0.49,0.84,0.53,0.24,0.44,0.49,0,0.25,0.39,0.13,0.56,0,0.51,0.16,0.67,0.28
"Education Administrators, Postsecondary",0.61,0.45,0.66,0.07,0.61,0.61,0.57,0.61,0.57,0.61,0.57,0.45,0.5,0.57,0.57,0.57,0.57,0.54,0.54,0.55,0.57,0.57,0.54,0.54,0,0,0.11,0,0,0.07,0,0.2,0,0,0.13,0.37,0.43,0.55,0.55,0.57,0.57,0.59,0.54,0.55,0.37,0.45,0.39,0.43,0.46,0,0.32,0.68,0.7,0.7,0.64,0.39,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0.16,0,0,0,0,0.59,0.2,0.57,0,0.27,0.37,0,0,0,0.25,0,0.5,0.75,0.18,0.15,0.44,0.14,0.62,0.4,0.74,0.62,0.63,0.47,0.47,0.23,0,0.19,0,0.21,0.59,0.79,0.49,0.11,0.35,0.41,0,0.23,0.25,0,0.57,0.12,0.4,0,0.53,0.23
"Education Teachers, Postsecondary",0.66,0.32,0.7,0.29,0.7,0.7,0.61,0.57,0.64,0.57,0.57,0.18,0.27,0.43,0.5,0.43,0.61,0.41,0.41,0.41,0.52,0.57,0.46,0.46,0,0,0.11,0,0,0.07,0,0,0,0,0.37,0.29,0.41,0.55,0.46,0.46,0.61,0.59,0.45,0.48,0.32,0.3,0.3,0.3,0.32,0,0.2,0.71,0.73,0.73,0.71,0.39,0,0,0,0,0,0,0,0.25,0,0,0.07,0,0,0.11,0.16,0.11,0,0.07,0,0.71,0.16,0.57,0,0.11,0.45,0,0,0.05,0.11,0,0.57,0.84,0.33,0.11,0.66,0.1,0.59,0.15,0.57,0.58,0.41,0.26,0.68,0.16,0,0.11,0,0.08,0.54,0.9,0.4,0.15,0.23,0.33,0,0.11,0.2,0,0.61,0.07,0.72,0.21,0.7,0.15
"Education and Childcare Administrators, Preschool and Daycare",0.57,0.41,0.59,0.11,0.57,0.57,0.55,0.57,0.55,0.59,0.5,0.46,0.45,0.57,0.55,0.57,0.55,0.52,0.5,0.57,0.55,0.55,0.45,0.48,0,0.25,0.11,0,0,0.09,0.13,0.21,0,0.09,0.14,0.39,0.45,0.57,0.52,0.5,0.59,0.55,0.45,0.52,0.36,0.41,0.39,0.41,0.41,0,0.36,0.61,0.63,0.59,0.59,0.43,0,0.11,0.16,0.11,0.09,0.16,0.16,0.32,0.13,0,0.07,0.11,0,0.27,0.25,0.14,0,0.13,0,0.55,0.29,0.5,0,0.27,0.43,0,0,0.13,0.3,0,0.5,0.55,0.3,0.26,0.41,0.32,0.61,0.49,0.84,0.58,0.65,0.49,0.36,0.12,0.24,0.29,0.21,0.29,0.53,0.61,0.4,0.38,0.49,0.33,0.42,0.38,0.41,0.23,0.48,0.16,0.4,0.22,0.49,0.29
"Educational, Guidance, and Career Counselors and Advisors",0.59,0.3,0.61,0.09,0.57,0.57,0.55,0.57,0.52,0.54,0.54,0.09,0.09,0.43,0.55,0.55,0.5,0.46,0.55,0.57,0.73,0.57,0.45,0.48,0,0,0.13,0,0,0.14,0,0.14,0,0,0,0.41,0.43,0.63,0.55,0.54,0.57,0.57,0.5,0.45,0.3,0.41,0.37,0.32,0.36,0,0.34,0.63,0.64,0.64,0.64,0.41,0,0.11,0.05,0.13,0.18,0.2,0,0.21,0.21,0.13,0.05,0,0,0.05,0.14,0.11,0,0,0.13,0.57,0.21,0.46,0,0.27,0.41,0,0,0,0.27,0,0.5,0.67,0.12,0.33,0.46,0,0.44,0,0.62,0.2,0.6,0.17,0.34,0.15,0,0,0,0,0.39,0.66,0.85,0.14,0.32,0.32,0,0,0,0,0.25,0,0.54,0,0.64,0.16
"Electric Motor, Power Tool, and Related Repairers",0.43,0.39,0.43,0.3,0.43,0.39,0.45,0.48,0.39,0.45,0.43,0.25,0.25,0.32,0.41,0.41,0.41,0.25,0.34,0.39,0.39,0.43,0.41,0.39,0.41,0.52,0.18,0.43,0.54,0.13,0.55,0.48,0.57,0.43,0.18,0.41,0.5,0.45,0.41,0.41,0.46,0.46,0.46,0.48,0.43,0.45,0.45,0.32,0.29,0.18,0.52,0.41,0.45,0.54,0.43,0.32,0,0.27,0.48,0.29,0.16,0.41,0.3,0.37,0.29,0.43,0.54,0.45,0.41,0.5,0.57,0.54,0.27,0.39,0.45,0.39,0.52,0.39,0.3,0.46,0.41,0.27,0.14,0.46,0.52,0.18,0.54,0.38,0,0,0,0,0.41,0.13,0.36,0.16,0.28,0.23,0.16,0.14,0.29,0.42,0.72,0.37,0.36,0.47,0.12,0.09,0.35,0.18,0,0.48,0.12,0.34,0.45,0.37,0,0,0.18,0.27
"Electrical Engineers",0.57,0.57,0.61,0.5,0.54,0.55,0.48,0.57,0.43,0.5,0.54,0.36,0.37,0.43,0.46,0.46,0.43,0.41,0.41,0.43,0.45,0.46,0.46,0.48,0,0.41,0.29,0.27,0.29,0.21,0.43,0.43,0.34,0,0.46,0.41,0.45,0.61,0.52,0.48,0.57,0.57,0.5,0.57,0.41,0.45,0.32,0.52,0.57,0,0.46,0.59,0.64,0.63,0.68,0.34,0,0,0,0,0,0,0,0.09,0,0,0.27,0,0,0.27,0.34,0.25,0,0.07,0,0.45,0.3,0.46,0,0.29,0.43,0,0,0.29,0.39,0,0.46,0.57,0,0.1,0.11,0,0.48,0.26,0.49,0.31,0.51,0.26,0.29,0.25,0.31,0.84,0.55,0.74,0.76,0.57,0,0,0.3,0.29,0,0.47,0.26,0.38,0.71,0.58,0,0,0.22,0.18
"Electrical Power-Line Installers and Repairers",0.46,0.27,0.43,0.14,0.41,0.39,0.43,0.43,0.39,0.43,0.43,0.05,0.09,0.43,0.41,0.46,0.37,0.3,0.39,0.36,0.37,0.43,0.43,0.43,0.34,0.45,0.16,0.3,0.43,0,0.48,0.46,0.46,0.46,0.23,0.41,0.43,0.57,0.41,0.39,0.46,0.41,0.43,0.55,0.39,0.45,0.34,0.29,0.23,0.3,0.45,0.39,0.46,0.55,0.41,0.29,0.13,0.43,0.54,0.39,0.14,0.55,0.41,0.45,0.45,0.45,0.54,0.57,0.43,0.48,0.54,0.48,0.25,0.29,0.48,0.41,0.36,0.41,0.18,0.34,0.48,0.32,0.18,0.43,0.45,0.23,0.55,0.44,0,0,0,0,0.4,0.17,0.52,0.24,0.24,0.15,0.32,0.26,0.63,0.51,0.57,0.54,0.29,0.53,0.21,0.17,0.43,0.25,0,0.3,0.3,0.23,0.43,0.37,0,0,0.27,0.45
"Electrical and Electronic Engineering Technologists and Technicians",0.51,0.5,0.58,0.42,0.48,0.47,0.48,0.54,0.41,0.5,0.5,0.23,0.28,0.4,0.44,0.45,0.46,0.35,0.41,0.39,0.4,0.48,0.44,0.45,0,0.49,0.36,0.43,0,0,0.5,0.48,0.44,0.42,0,0.36,0.43,0.55,0.44,0.43,0.56,0.55,0.52,0.56,0.45,0.46,0.39,0.43,0.47,0,0.52,0.52,0.58,0.6,0.59,0.38,0,0,0,0,0,0,0,0,0,0.26,0.41,0.31,0.16,0.45,0.46,0.4,0,0.23,0.28,0.43,0.33,0.45,0,0.34,0.42,0,0,0.31,0.49,0,0.57,0.55,0,0,0,0,0.44,0.18,0.57,0.29,0.47,0.28,0.34,0.48,0.33,0.73,0.64,0.67,0.75,0.47,0,0,0.44,0.34,0,0.5,0,0.39,0.63,0.55,0,0,0.22,0.26
"Electrical and Electronic Equipment Assemblers",0.41,0.29,0.45,0.21,0.39,0.37,0.39,0.43,0.29,0.41,0.36,0.07,0.13,0.29,0.39,0.41,0.36,0.27,0.27,0.34,0.36,0.37,0.21,0.21,0.23,0.36,0.11,0.21,0.21,0,0.29,0.43,0.25,0.41,0.09,0.29,0.41,0.43,0.34,0.3,0.43,0.45,0.41,0.45,0.41,0.39,0.29,0.25,0.21,0.09,0.54,0.37,0.45,0.5,0.43,0.21,0,0.09,0.34,0.13,0,0.37,0.23,0.36,0.21,0.29,0.45,0.41,0.27,0.52,0.54,0.46,0.09,0.29,0.34,0.39,0.34,0.37,0.05,0.32,0.39,0,0,0.25,0.48,0,0.55,0.33,0,0,0,0,0.21,0,0,0,0.08,0,0,0,0,0.26,0.47,0.39,0.3,0.27,0,0,0.22,0,0,0.38,0,0,0.3,0.16,0,0,0,0
"Electrical and Electronics Drafters",0.54,0.43,0.54,0.22,0.46,0.48,0.45,0.5,0.38,0.41,0.45,0,0,0.33,0.42,0.42,0.4,0.3,0.39,0.34,0.39,0.42,0.43,0.41,0,0.26,0.15,0,0,0.14,0.08,0.19,0,0.11,0.43,0.32,0.42,0.49,0.45,0.43,0.51,0.5,0.45,0.48,0.36,0.39,0.29,0.38,0.43,0,0.5,0.54,0.57,0.57,0.56,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.38,0.22,0,0.08,0,0.41,0.21,0.41,0,0.15,0.38,0,0,0.21,0.4,0,0.55,0.57,0,0,0,0,0.35,0,0.42,0,0.58,0.18,0.24,0.24,0.25,0.73,0.34,0.72,0.7,0.48,0,0,0.32,0.25,0,0.35,0,0.19,0.62,0.32,0,0,0,0
"Electrical and Electronics Installers and Repairers, Transportation Equipment",0.43,0.32,0.45,0.32,0.43,0.43,0.34,0.43,0.32,0.43,0.43,0.16,0.14,0.32,0.45,0.43,0.36,0.3,0.39,0.32,0.43,0.41,0.32,0.34,0.34,0.46,0.2,0.32,0.43,0.11,0.46,0.45,0.45,0.36,0.23,0.34,0.41,0.46,0.34,0.32,0.43,0.43,0.45,0.45,0.43,0.43,0.3,0.3,0.3,0.14,0.45,0.43,0.46,0.54,0.43,0.25,0,0.27,0.48,0.3,0.16,0.3,0.21,0.43,0.27,0.2,0.45,0.43,0.2,0.5,0.5,0.45,0.05,0.2,0.29,0.43,0.3,0.43,0.14,0.32,0.43,0.14,0.13,0.34,0.48,0.13,0.57,0.59,0,0.19,0.18,0,0.43,0.31,0.5,0.32,0.46,0,0.3,0.57,0.36,0.67,0.65,0.59,0.71,0.58,0,0.11,0.61,0.41,0,0.52,0.3,0.31,0.62,0.45,0.22,0,0.42,0.48
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0.52,0.41,0.57,0.39,0.45,0.43,0.43,0.54,0.43,0.45,0.55,0.23,0.23,0.37,0.43,0.43,0.41,0.37,0.41,0.41,0.43,0.43,0.46,0.43,0.39,0.55,0.34,0.46,0.54,0.3,0.55,0.55,0.55,0.5,0.3,0.3,0.43,0.57,0.43,0.43,0.55,0.52,0.54,0.57,0.54,0.54,0.39,0.41,0.41,0.14,0.54,0.43,0.55,0.57,0.52,0.43,0,0.29,0.45,0.29,0.13,0.36,0.29,0.39,0.29,0.29,0.45,0.37,0.34,0.46,0.55,0.54,0.18,0.29,0.39,0.43,0.41,0.43,0.18,0.43,0.43,0.14,0.14,0.36,0.55,0.14,0.59,0.48,0.09,0,0,0,0.54,0.18,0.57,0.26,0.41,0,0.35,0.4,0.33,0.61,0.77,0.55,0.72,0.62,0,0,0.33,0.23,0,0.6,0,0.47,0.55,0.45,0.14,0.14,0.34,0.32
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0.45,0.34,0.5,0.34,0.41,0.43,0.43,0.48,0.32,0.43,0.43,0.21,0.23,0.39,0.43,0.43,0.41,0.32,0.3,0.39,0.39,0.43,0.43,0.43,0.11,0.46,0.14,0.32,0.57,0.16,0.57,0.46,0.57,0.45,0.32,0.39,0.43,0.46,0.41,0.43,0.43,0.43,0.43,0.45,0.45,0.45,0.3,0.39,0.41,0.18,0.46,0.46,0.55,0.55,0.5,0.39,0,0.32,0.39,0.32,0.16,0.3,0.32,0.36,0.3,0.27,0.46,0.41,0.27,0.46,0.45,0.45,0.14,0.29,0.34,0.43,0.36,0.41,0.18,0.34,0.43,0.25,0.16,0.39,0.52,0.14,0.57,0.54,0,0,0,0,0.43,0.14,0.48,0.32,0.34,0,0.2,0.46,0.57,0.64,0.78,0.58,0.59,0.52,0.15,0.22,0.58,0.35,0,0.33,0.16,0.41,0.68,0.6,0.22,0.16,0.41,0.31
"Electricians",0.43,0.46,0.46,0.3,0.45,0.43,0.46,0.52,0.5,0.5,0.45,0.29,0.32,0.45,0.43,0.5,0.43,0.34,0.41,0.41,0.41,0.46,0.43,0.45,0.52,0.5,0.25,0.41,0.48,0,0.57,0.45,0.52,0.43,0.39,0.37,0.45,0.54,0.41,0.41,0.55,0.52,0.46,0.55,0.46,0.46,0.41,0.43,0.45,0.32,0.57,0.43,0.57,0.57,0.48,0.41,0.05,0.39,0.52,0.36,0.11,0.48,0.37,0.46,0.36,0.41,0.45,0.45,0.25,0.43,0.48,0.45,0.32,0.32,0.45,0.43,0.41,0.45,0.27,0.37,0.5,0.29,0.23,0.39,0.57,0.21,0.59,0.45,0,0.12,0,0,0.48,0.12,0.54,0.25,0.34,0.19,0.2,0.43,0.78,0.41,0.73,0.57,0.43,0.42,0.1,0.09,0.49,0.25,0,0.34,0.17,0.21,0.61,0.51,0,0,0.28,0.25
"Electro-Mechanical and Mechatronics Technologists and Technicians",0.48,0.41,0.55,0.41,0.45,0.48,0.43,0.54,0.43,0.57,0.45,0.18,0.2,0.41,0.43,0.43,0.43,0.29,0.32,0.34,0.45,0.45,0.43,0.43,0.45,0.55,0.16,0.43,0.55,0.29,0.55,0.57,0.54,0.52,0.32,0.43,0.5,0.54,0.41,0.36,0.55,0.5,0.43,0.55,0.5,0.45,0.37,0.43,0.41,0.2,0.54,0.45,0.55,0.55,0.52,0.41,0,0.16,0.18,0.27,0.13,0.39,0.18,0.36,0.25,0.32,0.55,0.41,0.32,0.54,0.55,0.52,0.23,0.3,0.52,0.43,0.48,0.43,0,0.43,0.5,0.27,0,0.39,0.48,0,0.57,0.48,0,0.1,0,0,0.15,0.06,0.18,0,0.21,0,0.14,0.27,0.25,0.57,0.66,0.41,0.61,0.46,0,0,0.38,0,0,0.45,0,0.28,0.5,0.43,0,0,0,0.12
"Electromechanical Equipment Assemblers",0.39,0.27,0.43,0.29,0.37,0.3,0.3,0.41,0.23,0.39,0.3,0.09,0.11,0.23,0.37,0.29,0.21,0.23,0.23,0.25,0.25,0.34,0.27,0.21,0.14,0.46,0.14,0.29,0.41,0.07,0.45,0.43,0.39,0.32,0.11,0.27,0.41,0.46,0.3,0.29,0.43,0.43,0.43,0.52,0.41,0.39,0.27,0.25,0.27,0,0.5,0.37,0.41,0.45,0.41,0.25,0,0.14,0.32,0.14,0.09,0.34,0.23,0.37,0.16,0.14,0.46,0.34,0.16,0.48,0.54,0.46,0,0.2,0.25,0.36,0.32,0.41,0,0.39,0.43,0,0,0.29,0.36,0,0.54,0.41,0,0,0,0,0.17,0,0.19,0,0.14,0,0.18,0.21,0.17,0.46,0.53,0.36,0.52,0.36,0,0,0.3,0,0,0.43,0,0.21,0.39,0.21,0,0,0,0
"Electronic Equipment Installers and Repairers, Motor Vehicles",0.43,0.32,0.45,0.21,0.43,0.41,0.34,0.45,0.32,0.41,0.43,0.18,0.16,0.3,0.43,0.43,0.34,0.36,0.34,0.41,0.41,0.41,0.32,0.34,0.43,0.43,0.2,0.39,0.41,0.16,0.52,0.43,0.52,0.43,0.25,0.39,0.45,0.45,0.43,0.41,0.45,0.45,0.46,0.46,0.41,0.41,0.32,0.32,0.34,0.27,0.52,0.43,0.43,0.55,0.43,0.3,0,0.25,0.54,0.3,0.14,0.36,0.25,0.41,0.25,0.29,0.45,0.43,0.3,0.54,0.54,0.46,0.2,0.27,0.39,0.43,0.43,0.43,0.29,0.43,0.41,0.25,0.2,0.34,0.5,0.18,0.5,0.42,0,0.12,0,0,0.42,0.13,0.44,0.19,0.21,0.34,0.2,0.22,0.28,0.52,0.69,0.46,0.62,0.48,0,0,0.31,0,0,0.15,0,0.27,0.6,0.28,0,0,0,0.27
"Electronics Engineers, Except Computer",0.57,0.52,0.59,0.45,0.57,0.57,0.54,0.57,0.45,0.52,0.59,0.36,0.36,0.41,0.43,0.46,0.45,0.45,0.43,0.43,0.43,0.5,0.55,0.54,0.09,0.54,0.45,0.41,0.39,0.41,0.45,0.5,0.43,0.45,0.48,0.39,0.45,0.59,0.54,0.55,0.57,0.57,0.55,0.57,0.43,0.48,0.39,0.45,0.55,0,0.59,0.59,0.57,0.59,0.61,0.39,0,0.11,0.09,0.09,0,0.13,0.11,0.21,0.11,0.25,0.39,0.27,0.2,0.43,0.48,0.41,0,0.2,0.23,0.46,0.32,0.46,0,0.37,0.46,0,0,0.29,0.52,0,0.57,0.6,0.12,0.21,0.2,0,0.46,0.26,0.6,0.32,0.48,0.25,0.34,0.58,0.23,0.81,0.68,0.71,0.91,0.49,0.11,0.11,0.41,0.31,0,0.56,0.29,0.4,0.74,0.72,0.17,0,0.19,0.26
"Elementary School Teachers, Except Special Education",0.57,0.39,0.57,0.25,0.57,0.55,0.55,0.57,0.64,0.61,0.48,0,0.14,0.41,0.48,0.52,0.59,0.43,0.43,0.48,0.57,0.52,0.45,0.45,0,0.16,0.13,0.07,0,0.07,0,0.13,0,0.05,0.23,0.45,0.45,0.57,0.52,0.55,0.57,0.54,0.46,0.48,0.36,0.43,0.34,0.34,0.36,0.05,0.41,0.59,0.61,0.61,0.57,0.41,0,0.05,0.13,0.13,0.05,0.14,0.05,0.3,0.21,0,0,0.14,0,0.09,0.29,0.05,0.07,0.11,0,0.59,0.34,0.57,0.05,0.27,0.46,0,0,0.09,0.3,0,0.55,0.67,0.51,0.15,0.44,0.23,0.33,0.11,0.54,0.23,0.53,0.14,0.42,0.14,0,0.13,0,0.19,0.57,0.76,0.39,0.21,0.33,0.26,0.08,0,0.49,0.18,0.54,0.12,0.43,0.25,0.52,0.15
"Elevator and Escalator Installers and Repairers",0.45,0.23,0.46,0.37,0.41,0.39,0.43,0.43,0.32,0.45,0.45,0.07,0.13,0.27,0.43,0.45,0.27,0.34,0.36,0.39,0.37,0.43,0.41,0.39,0,0.5,0,0.45,0.54,0.11,0.55,0.48,0.54,0.46,0,0.34,0.45,0.48,0.39,0.41,0.45,0.45,0.43,0.46,0.45,0.41,0,0.25,0.32,0.23,0.48,0.41,0.5,0.52,0.46,0.3,0,0.38,0.5,0.36,0,0.36,0.23,0.41,0.3,0.36,0.45,0.43,0.3,0.48,0.46,0.46,0.2,0.23,0,0.3,0,0.39,0.18,0,0.39,0.21,0.14,0.41,0.48,0.13,0.52,0.44,0,0,0,0,0.3,0.21,0.71,0.28,0.26,0.36,0.15,0.27,0.74,0.57,0.85,0.64,0.56,0.4,0,0.08,0.55,0.36,0,0.31,0.11,0.32,0.53,0.6,0,0,0.36,0.4
"Eligibility Interviewers, Government Programs",0.57,0.25,0.57,0.05,0.57,0.52,0.43,0.54,0.34,0.45,0.43,0.05,0,0.34,0.43,0.43,0.37,0.43,0.43,0.54,0.5,0.43,0.37,0.3,0,0,0,0,0,0.07,0,0.05,0,0,0,0.36,0.43,0.5,0.39,0.39,0.55,0.54,0.43,0.46,0.29,0.37,0.29,0.32,0.36,0,0.25,0.55,0.57,0.57,0.57,0.27,0,0,0,0,0,0,0,0.11,0,0,0.16,0,0,0.18,0.27,0.18,0,0,0,0.52,0.29,0.52,0,0.27,0.3,0,0,0,0.25,0,0.52,0.59,0,0.3,0.3,0,0.45,0.23,0.82,0.38,0.63,0.12,0.33,0.17,0,0,0,0,0.49,0.45,0.36,0.15,0.33,0.39,0,0.21,0.15,0,0.44,0,0.35,0,0.48,0.23
"Embalmers",0.54,0.29,0.48,0.32,0.54,0.43,0.43,0.45,0.39,0.45,0.43,0.16,0.18,0.39,0.45,0.43,0.37,0.37,0.3,0.43,0.55,0.43,0.3,0.3,0,0.27,0.14,0.14,0.14,0,0.23,0.3,0.14,0.32,0.27,0.3,0.32,0.46,0.41,0.39,0.45,0.43,0.39,0.46,0.32,0.39,0.2,0.23,0.21,0.21,0.43,0.43,0.55,0.57,0.46,0.23,0,0.21,0.29,0.25,0.09,0.43,0.18,0.43,0.27,0.18,0.43,0.39,0.16,0.57,0.45,0.45,0.11,0.25,0.18,0.45,0.21,0.46,0.16,0.21,0.41,0.16,0.16,0.29,0.5,0.16,0.57,0.56,0,0.16,0.59,0,0.52,0.17,0.66,0.25,0.56,0.22,0.36,0.23,0,0.2,0.23,0.09,0.55,0.53,0.43,0.4,0.43,0.46,0,0.26,0.2,0.69,0.4,0.19,0.39,0.5,0.58,0.39
"Emergency Management Directors",0.57,0.45,0.61,0.23,0.61,0.61,0.63,0.63,0.55,0.63,0.75,0.39,0.41,0.52,0.55,0.7,0.54,0.5,0.55,0.71,0.55,0.61,0.59,0.57,0,0.37,0.09,0,0,0.09,0.14,0.27,0,0.23,0.46,0.43,0.45,0.64,0.61,0.55,0.63,0.61,0.54,0.57,0.43,0.48,0.43,0.39,0.39,0.29,0.52,0.63,0.63,0.64,0.63,0.43,0,0,0.05,0,0,0,0,0.21,0,0.27,0.21,0.21,0.16,0.25,0.16,0.13,0,0.18,0.21,0.55,0.32,0.55,0.13,0.21,0.45,0.14,0.14,0.27,0.27,0.13,0.52,0.61,0.39,0.18,0.34,0,0.73,0.45,0.81,0.61,0.58,0.47,0.53,0.5,0.34,0.31,0.22,0.19,0.59,0.75,0.36,0.27,0.75,0.59,0.12,0.25,0.59,0.37,0.49,0.25,0.47,0.26,0.54,0.49
"Endoscopy Technicians",0.48,0.3,0.57,0.13,0.45,0.43,0.43,0.46,0.34,0.45,0.37,0.07,0.16,0.29,0.36,0.43,0.41,0.3,0.36,0.43,0.45,0.43,0.32,0.3,0,0.41,0.07,0.3,0.41,0.05,0.39,0.43,0.34,0.43,0,0.39,0.45,0.48,0.32,0.29,0.45,0.43,0.45,0.46,0.43,0.41,0.32,0.3,0.27,0,0.41,0.45,0.57,0.57,0.5,0.32,0,0.18,0.39,0.25,0.07,0.41,0.29,0.37,0.27,0.27,0.46,0.43,0.3,0.46,0.45,0.45,0.2,0.29,0.3,0.43,0.25,0.43,0,0.29,0.41,0,0,0.32,0.39,0,0.57,0.53,0,0.11,0.2,0,0.32,0.25,0.55,0.33,0.44,0.22,0.23,0.21,0,0.24,0.36,0.16,0.42,0.53,0.19,0.46,0.41,0.25,0,0.38,0,0.41,0.27,0.18,0.21,0.37,0.36,0.18
